Group_Name,Year,Month,Report_Year_Month,Volume,Open_Interest
Other,2008,2,2008-2,2084,1073
Agriculture,2008,3,2008-3,7,23
Currencies,2008,3,2008-3,1365,1475
Energy,2008,3,2008-3,35,212
Equity,2008,3,2008-3,85443,0
"Interest Rates",2008,3,2008-3,1871673,416343
Metals,2008,3,2008-3,100,100
Other,2008,3,2008-3,2032,973
Agriculture,2008,4,2008-4,11,11
Currencies,2008,4,2008-4,1125,906
Energy,2008,4,2008-4,499,561
Equity,2008,4,2008-4,39592,0
"Interest Rates",2008,4,2008-4,823706,500841
Metals,2008,4,2008-4,80,180
Other,2008,4,2008-4,1916,1201
Agriculture,2008,5,2008-5,0,11
Currencies,2008,5,2008-5,2750,1852
Energy,2008,5,2008-5,220,641
Equity,2008,5,2008-5,126845,0
"Interest Rates",2008,5,2008-5,757118,501999
Metals,2008,5,2008-5,360,180
Other,2008,5,2008-5,2153,1303
Agriculture,2008,6,2008-6,5,0
Currencies,2008,6,2008-6,1385,2048
Energy,2008,6,2008-6,157,727
Equity,2008,6,2008-6,159416,0
"Interest Rates",2008,6,2008-6,1911916,444350
Metals,2008,6,2008-6,0,180
Other,2008,6,2008-6,2997,1294
Agriculture,2008,7,2008-7,19,66
Currencies,2008,7,2008-7,1095,2869
Energy,2008,7,2008-7,416,650
Equity,2008,7,2008-7,85138,0
"Interest Rates",2008,7,2008-7,847744,452051
Metals,2008,7,2008-7,360,180
Other,2008,7,2008-7,941,846
Agriculture,2008,8,2008-8,20,28
Currencies,2008,8,2008-8,4985,4714
Energy,2008,8,2008-8,6,640
Equity,2008,8,2008-8,83838,0
"Interest Rates",2008,8,2008-8,757726,492947
Metals,2008,8,2008-8,100,80
Other,2008,8,2008-8,646,444
Agriculture,2008,9,2008-9,12,30
Currencies,2008,9,2008-9,8040,3349
Energy,2008,9,2008-9,20,660
Equity,2008,9,2008-9,42484,0
"Interest Rates",2008,9,2008-9,1932173,437413
Metals,2008,9,2008-9,0,80
Other,2008,9,2008-9,378,203
Agriculture,2009,1,2009-1,33,44
Currencies,2009,1,2009-1,2015,1150
Energy,2009,1,2009-1,75,420
Equity,2009,1,2009-1,21980,123743
"Interest Rates",2009,1,2009-1,476577,311840
Metals,2009,1,2009-1,160,80
Other,2009,1,2009-1,1,0
Agriculture,2009,10,2009-10,41,66
Currencies,2009,10,2009-10,14970,6448
Energy,2009,10,2009-10,72,385
Equity,2009,10,2009-10,54442,1066099
"Interest Rates",2009,10,2009-10,0,999
Metals,2009,10,2009-10,0,80
Other,2009,10,2009-10,0,7200
Agriculture,2009,11,2009-11,0,61
Currencies,2009,11,2009-11,8470,8095
Energy,2009,11,2009-11,240,525
Equity,2009,11,2009-11,51271,109356
"Interest Rates",2009,11,2009-11,0,999
Metals,2009,11,2009-11,160,80
Other,2009,11,2009-11,0,7200
Agriculture,2009,12,2009-12,41,16
Currencies,2009,12,2009-12,18420,11958
Energy,2009,12,2009-12,391,0
Equity,2009,12,2009-12,101249,83913
"Interest Rates",2009,12,2009-12,1999,999
Metals,2009,12,2009-12,0,80
Other,2009,12,2009-12,0,7200
Agriculture,2009,2,2009-2,29,60
Currencies,2009,2,2009-2,790,1171
Energy,2009,2,2009-2,90,480
Equity,2009,2,2009-2,103432,125530
"Interest Rates",2009,2,2009-2,607937,313455
Metals,2009,2,2009-2,0,80
Other,2009,2,2009-2,0,7200
Agriculture,2009,3,2009-3,10,64
Currencies,2009,3,2009-3,1100,1310
Energy,2009,3,2009-3,185,605
Equity,2009,3,2009-3,38421,118497
"Interest Rates",2009,3,2009-3,1231053,271433
Metals,2009,3,2009-3,0,80
Other,2009,3,2009-3,0,7200
Agriculture,2009,4,2009-4,36,35
Currencies,2009,4,2009-4,2230,2005
Energy,2009,4,2009-4,210,545
Equity,2009,4,2009-4,16174,114830
"Interest Rates",2009,4,2009-4,250,250
Metals,2009,4,2009-4,0,80
Other,2009,4,2009-4,0,7200
Agriculture,2009,5,2009-5,45,66
Currencies,2009,5,2009-5,1535,2265
Energy,2009,5,2009-5,40,570
Equity,2009,5,2009-5,33199,107048
"Interest Rates",2009,5,2009-5,152,400
Metals,2009,5,2009-5,160,80
Other,2009,5,2009-5,0,7200
Agriculture,2009,6,2009-6,46,72
Currencies,2009,6,2009-6,3600,2826
Energy,2009,6,2009-6,10,575
Equity,2009,6,2009-6,132268,130735
"Interest Rates",2009,6,2009-6,1600,1000
Metals,2009,6,2009-6,0,80
Other,2009,6,2009-6,0,7200
Agriculture,2009,7,2009-7,5,77
Currencies,2009,7,2009-7,3095,4266
Energy,2009,7,2009-7,150,300
Equity,2009,7,2009-7,54291,107243
"Interest Rates",2009,7,2009-7,1,1000
Metals,2009,7,2009-7,160,80
Other,2009,7,2009-7,0,7200
Agriculture,2009,8,2009-8,66,95
Currencies,2009,8,2009-8,13710,4915
Energy,2009,8,2009-8,35,315
Equity,2009,8,2009-8,39151,120656
"Interest Rates",2009,8,2009-8,1,999
Metals,2009,8,2009-8,0,80
Other,2009,8,2009-8,0,7200
Agriculture,2009,9,2009-9,23,107
Currencies,2009,9,2009-9,5330,5096
Energy,2009,9,2009-9,230,490
Equity,2009,9,2009-9,131854,121102
"Interest Rates",2009,9,2009-9,1998,999
Metals,2009,9,2009-9,0,80
Other,2009,9,2009-9,0,7200
Agriculture,2010,1,2010-1,21,33
Currencies,2010,1,2010-1,10610,13228
Energy,2010,1,2010-1,441,800
Equity,2010,1,2010-1,13881,77960
"Interest Rates",2010,1,2010-1,0,999
Metals,2010,1,2010-1,80,0
Other,2010,1,2010-1,0,7200
Agriculture,2010,10,2010-10,4,4
Currencies,2010,10,2010-10,5190,4720
Energy,2010,10,2010-10,1386,3332
Equity,2010,10,2010-10,9215,65527
"Interest Rates",2010,10,2010-10,790774,373238
Metals,2010,10,2010-10,211,173
Other,2010,10,2010-10,3598,2822
Agriculture,2010,11,2010-11,43,45
Currencies,2010,11,2010-11,12780,4684
Energy,2010,11,2010-11,740,3496
Equity,2010,11,2010-11,8663,67292
"Interest Rates",2010,11,2010-11,849273,393613
Metals,2010,11,2010-11,1125,0
Other,2010,11,2010-11,3244,3002
Agriculture,2010,12,2010-12,25,70
Currencies,2010,12,2010-12,8525,3897
Energy,2010,12,2010-12,923,3555
Equity,2010,12,2010-12,56897,58988
"Interest Rates",2010,12,2010-12,1949396,346406
Metals,2010,12,2010-12,246,86
Other,2010,12,2010-12,5126,4079
Agriculture,2010,2,2010-2,18,20
Currencies,2010,2,2010-2,30280,11992
Energy,2010,2,2010-2,559,1203
Equity,2010,2,2010-2,16996,82127
"Interest Rates",2010,2,2010-2,0,999
Metals,2010,2,2010-2,86,86
Other,2010,2,2010-2,0,7200
Agriculture,2010,3,2010-3,3,15
Currencies,2010,3,2010-3,19775,12786
Energy,2010,3,2010-3,735,1572
Equity,2010,3,2010-3,85587,77586
"Interest Rates",2010,3,2010-3,2499,1000
Metals,2010,3,2010-3,98,42
Other,2010,3,2010-3,0,7200
Agriculture,2010,4,2010-4,14,0
Currencies,2010,4,2010-4,31685,21014
Energy,2010,4,2010-4,1377,2300
Equity,2010,4,2010-4,91586,76969
"Interest Rates",2010,4,2010-4,0,1000
Metals,2010,4,2010-4,60,36
Other,2010,4,2010-4,0,7200
Agriculture,2010,5,2010-5,575,987
Currencies,2010,5,2010-5,55215,14663
Energy,2010,5,2010-5,1151,3145
Equity,2010,5,2010-5,30845,85761
"Interest Rates",2010,5,2010-5,0,1000
Metals,2010,5,2010-5,18,12
Other,2010,5,2010-5,500,386
Agriculture,2010,6,2010-6,221,791
Currencies,2010,6,2010-6,6975,2072
Energy,2010,6,2010-6,1178,3696
Equity,2010,6,2010-6,92997,79768
"Interest Rates",2010,6,2010-6,2050,250
Metals,2010,6,2010-6,12,12
Other,2010,6,2010-6,815,721
Agriculture,2010,7,2010-7,462,1007
Currencies,2010,7,2010-7,2990,2007
Energy,2010,7,2010-7,1373,3034
Equity,2010,7,2010-7,32383,691991
"Interest Rates",2010,7,2010-7,250,380729
Metals,2010,7,2010-7,158,158
Other,2010,7,2010-7,1528,1456
Agriculture,2010,8,2010-8,721,1165
Currencies,2010,8,2010-8,8010,1893
Energy,2010,8,2010-8,1028,2856
Equity,2010,8,2010-8,14865,69550
"Interest Rates",2010,8,2010-8,999653,366361
Metals,2010,8,2010-8,82,56
Other,2010,8,2010-8,2722,2925
Agriculture,2010,9,2010-9,354,974
Currencies,2010,9,2010-9,4620,3338
Energy,2010,9,2010-9,1487,3477
Equity,2010,9,2010-9,89761,69240
"Interest Rates",2010,9,2010-9,1968710,361235
Metals,2010,9,2010-9,68,68
Other,2010,9,2010-9,3392,2711
Agriculture,2011,1,2011-1,42,96
Currencies,2011,1,2011-1,13250,8090
Energy,2011,1,2011-1,1461,3008
Equity,2011,1,2011-1,3732,57468
"Interest Rates",2011,1,2011-1,582295,364871
Metals,2011,1,2011-1,80,0
Other,2011,1,2011-1,2821,4066
Agriculture,2011,10,2011-10,0,1635
Currencies,2011,10,2011-10,11563,2769
Energy,2011,10,2011-10,631,2183
Equity,2011,10,2011-10,89330,794729
"Interest Rates",2011,10,2011-10,300,100
Metals,2011,10,2011-10,1355,1395
Other,2011,10,2011-10,4784,8548
Agriculture,2011,11,2011-11,1640,1010
Currencies,2011,11,2011-11,8405,4762
Energy,2011,11,2011-11,921,2299
Equity,2011,11,2011-11,62544,805979
"Interest Rates",2011,11,2011-11,240,0
Metals,2011,11,2011-11,1404,1424
Other,2011,11,2011-11,6712,8109
Agriculture,2011,12,2011-12,50,1060
Currencies,2011,12,2011-12,6070,2724
Energy,2011,12,2011-12,397,2330
Equity,2011,12,2011-12,729739,879576
"Interest Rates",2011,12,2011-12,60,0
Metals,2011,12,2011-12,0,60
Other,2011,12,2011-12,6374,7689
Agriculture,2011,2,2011-2,59,141
Currencies,2011,2,2011-2,10431,4053
Energy,2011,2,2011-2,2399,2966
Equity,2011,2,2011-2,11224,59862
"Interest Rates",2011,2,2011-2,813820,382649
Metals,2011,2,2011-2,52,52
Other,2011,2,2011-2,5980,5151
Agriculture,2011,3,2011-3,61,194
Currencies,2011,3,2011-3,17077,6065
Energy,2011,3,2011-3,1967,3231
Equity,2011,3,2011-3,71778,60462
"Interest Rates",2011,3,2011-3,2054813,366579
Metals,2011,3,2011-3,1488,1488
Other,2011,3,2011-3,8829,6751
Agriculture,2011,4,2011-4,21,173
Currencies,2011,4,2011-4,10375,4171
Energy,2011,4,2011-4,625,2433
Equity,2011,4,2011-4,27098,93134
"Interest Rates",2011,4,2011-4,920836,367643
Metals,2011,4,2011-4,1559,1559
Other,2011,4,2011-4,6914,7199
Agriculture,2011,5,2011-5,28,178
Currencies,2011,5,2011-5,15127,5004
Energy,2011,5,2011-5,696,2658
Equity,2011,5,2011-5,64998,803007
"Interest Rates",2011,5,2011-5,1080691,409610
Metals,2011,5,2011-5,1679,1519
Other,2011,5,2011-5,8928,8767
Agriculture,2011,6,2011-6,16,151
Currencies,2011,6,2011-6,6726,5570
Energy,2011,6,2011-6,670,3006
Equity,2011,6,2011-6,946109,741778
"Interest Rates",2011,6,2011-6,2430815,409668
Metals,2011,6,2011-6,1472,1492
Other,2011,6,2011-6,10115,7263
Agriculture,2011,7,2011-7,3,153
Currencies,2011,7,2011-7,11887,5842
Energy,2011,7,2011-7,1172,2323
Equity,2011,7,2011-7,79404,769724
"Interest Rates",2011,7,2011-7,840,0
Metals,2011,7,2011-7,1849,1625
Other,2011,7,2011-7,5385,6129
Agriculture,2011,8,2011-8,9,110
Currencies,2011,8,2011-8,9525,4258
Energy,2011,8,2011-8,367,2448
Equity,2011,8,2011-8,232487,891087
"Interest Rates",2011,8,2011-8,1040,260
Metals,2011,8,2011-8,1636,1570
Other,2011,8,2011-8,8356,6256
Agriculture,2011,9,2011-9,13,115
Currencies,2011,9,2011-9,17780,3504
Energy,2011,9,2011-9,745,2862
Equity,2011,9,2011-9,1142491,769542
"Interest Rates",2011,9,2011-9,170,150
Metals,2011,9,2011-9,1573,1569
Other,2011,9,2011-9,6527,8330
Agriculture,2012,1,2012-1,200,1185
Currencies,2012,1,2012-1,12363,6216
Energy,2012,1,2012-1,846,1539
Equity,2012,1,2012-1,43921,878972
"Interest Rates",2012,1,2012-1,821138,367680
Metals,2012,1,2012-1,20,60
Other,2012,1,2012-1,8073,7994
Agriculture,2012,10,2012-10,2824,3115
Currencies,2012,10,2012-10,10961,4410
Energy,2012,10,2012-10,1471,1547
Equity,2012,10,2012-10,264184,1176830
"Interest Rates",2012,10,2012-10,40,20
Metals,2012,10,2012-10,350,91
Other,2012,10,2012-10,2742,5639
Agriculture,2012,11,2012-11,2075,3364
Currencies,2012,11,2012-11,11809,2760
Energy,2012,11,2012-11,1347,2316
Equity,2012,11,2012-11,105010,1186560
"Interest Rates",2012,11,2012-11,0,20
Metals,2012,11,2012-11,303,24
Other,2012,11,2012-11,3329,5385
Agriculture,2012,12,2012-12,880,3116
Currencies,2012,12,2012-12,2272,1889
Energy,2012,12,2012-12,1559,2954
Equity,2012,12,2012-12,1080191,1045800
"Interest Rates",2012,12,2012-12,20,0
Metals,2012,12,2012-12,213,30
Other,2012,12,2012-12,3700,4600
Agriculture,2012,2,2012-2,935,1185
Currencies,2012,2,2012-2,8491,4354
Energy,2012,2,2012-2,762,1953
Equity,2012,2,2012-2,66412,897954
"Interest Rates",2012,2,2012-2,40,40
Metals,2012,2,2012-2,40,100
Other,2012,2,2012-2,5495,6390
Agriculture,2012,3,2012-3,694,555
Currencies,2012,3,2012-3,14921,7725
Energy,2012,3,2012-3,414,2049
Equity,2012,3,2012-3,1150158,967707
"Interest Rates",2012,3,2012-3,280,20
Metals,2012,3,2012-3,60,120
Other,2012,3,2012-3,8248,4947
Agriculture,2012,4,2012-4,400,455
Currencies,2012,4,2012-4,9216,2853
Energy,2012,4,2012-4,775,1382
Equity,2012,4,2012-4,88508,992096
"Interest Rates",2012,4,2012-4,0,20
Metals,2012,4,2012-4,60,120
Other,2012,4,2012-4,6761,5613
Agriculture,2012,5,2012-5,370,55
Currencies,2012,5,2012-5,7955,3472
Energy,2012,5,2012-5,528,1689
Equity,2012,5,2012-5,77083,1025100
"Interest Rates",2012,5,2012-5,120,0
Metals,2012,5,2012-5,100,100
Other,2012,5,2012-5,6722,5492
Agriculture,2012,6,2012-6,200,155
Currencies,2012,6,2012-6,8247,1764
Energy,2012,6,2012-6,270,1675
Equity,2012,6,2012-6,774360,979641
"Interest Rates",2012,6,2012-6,1000,0
Metals,2012,6,2012-6,80,120
Other,2012,6,2012-6,3107,5141
Agriculture,2012,7,2012-7,404,404
Currencies,2012,7,2012-7,5192,1375
Energy,2012,7,2012-7,810,1127
Equity,2012,7,2012-7,172179,1117370
"Interest Rates",2012,7,2012-7,1030127,398382
Metals,2012,7,2012-7,60,100
Other,2012,7,2012-7,6496,4844
Agriculture,2012,8,2012-8,1570,1202
Currencies,2012,8,2012-8,8344,2104
Energy,2012,8,2012-8,301,1246
Equity,2012,8,2012-8,302513,1235190
"Interest Rates",2012,8,2012-8,25,25
Metals,2012,8,2012-8,223,103
Other,2012,8,2012-8,6257,3892
Agriculture,2012,9,2012-9,1915,1560
Currencies,2012,9,2012-9,11877,2332
Energy,2012,9,2012-9,678,1575
Equity,2012,9,2012-9,1282604,1107550
"Interest Rates",2012,9,2012-9,95,0
Metals,2012,9,2012-9,302,40
Other,2012,9,2012-9,5680,5263
Agriculture,2013,1,2013-1,1825,3781
Currencies,2013,1,2013-1,4178,1131
Energy,2013,1,2013-1,1960,2302
Equity,2013,1,2013-1,168539,1061420
"Interest Rates",2013,1,2013-1,1194259,408796
Metals,2013,1,2013-1,364,103
Other,2013,1,2013-1,5334,3889
Agriculture,2013,10,2013-10,560,915
Currencies,2013,10,2013-10,1875,2979
Energy,2013,10,2013-10,927,3658
Equity,2013,10,2013-10,289063,1003680
"Interest Rates",2013,10,2013-10,1638220,513678
Metals,2013,10,2013-10,84,8
Other,2013,10,2013-10,26,10
Agriculture,2013,11,2013-11,280,1015
Currencies,2013,11,2013-11,3511,1748
Energy,2013,11,2013-11,301,3784
Equity,2013,11,2013-11,111394,1038970
"Interest Rates",2013,11,2013-11,1611747,561099
Metals,2013,11,2013-11,8,0
Other,2013,11,2013-11,12,15
Agriculture,2013,12,2013-12,225,1065
Currencies,2013,12,2013-12,4679,2467
Energy,2013,12,2013-12,447,4050
Equity,2013,12,2013-12,1005633,1001760
"Interest Rates",2013,12,2013-12,2737824,515840
Metals,2013,12,2013-12,865,0
Other,2013,12,2013-12,19,5
Agriculture,2013,2,2013-2,1938,3025
Currencies,2013,2,2013-2,4659,1296
Energy,2013,2,2013-2,1564,3645
Equity,2013,2,2013-2,186806,1080250
"Interest Rates",2013,2,2013-2,20,20
Metals,2013,2,2013-2,310,105
Other,2013,2,2013-2,2924,2896
Agriculture,2013,3,2013-3,1310,2644
Currencies,2013,3,2013-3,7491,3662
Energy,2013,3,2013-3,448,3861
Equity,2013,3,2013-3,1269576,983435
"Interest Rates",2013,3,2013-3,20,0
Metals,2013,3,2013-3,314,20
Other,2013,3,2013-3,3665,1824
Agriculture,2013,4,2013-4,451,2523
Currencies,2013,4,2013-4,9792,4763
Energy,2013,4,2013-4,1766,2393
Equity,2013,4,2013-4,245443,1000200
"Interest Rates",2013,4,2013-4,1448469,489413
Metals,2013,4,2013-4,436,124
Other,2013,4,2013-4,3546,3289
Agriculture,2013,5,2013-5,961,910
Currencies,2013,5,2013-5,4999,3080
Energy,2013,5,2013-5,857,2905
Equity,2013,5,2013-5,236974,1110800
"Interest Rates",2013,5,2013-5,1949796,507570
Metals,2013,5,2013-5,353,80
Other,2013,5,2013-5,5246,3698
Agriculture,2013,6,2013-6,405,765
Currencies,2013,6,2013-6,12045,5255
Energy,2013,6,2013-6,621,3295
Equity,2013,6,2013-6,784628,1035280
"Interest Rates",2013,6,2013-6,3268930,435004
Metals,2013,6,2013-6,983,720
Other,2013,6,2013-6,4197,3896
Agriculture,2013,7,2013-7,170,200
Currencies,2013,7,2013-7,5070,3220
Energy,2013,7,2013-7,1372,3395
Equity,2013,7,2013-7,365904,1085680
"Interest Rates",2013,7,2013-7,1315120,442615
Metals,2013,7,2013-7,1423,563
Other,2013,7,2013-7,4904,3940
Agriculture,2013,8,2013-8,880,575
Currencies,2013,8,2013-8,9672,5736
Energy,2013,8,2013-8,543,3767
Equity,2013,8,2013-8,233788,1142430
"Interest Rates",2013,8,2013-8,1522162,518787
Metals,2013,8,2013-8,976,440
Other,2013,8,2013-8,2077,3704
Agriculture,2013,9,2013-9,525,905
Currencies,2013,9,2013-9,5598,3700
Energy,2013,9,2013-9,375,3941
Equity,2013,9,2013-9,1219418,1055540
"Interest Rates",2013,9,2013-9,3215073,453946
Metals,2013,9,2013-9,88,48
Other,2013,9,2013-9,3449,4078
Agriculture,2014,1,2014-1,695,1082
Currencies,2014,1,2014-1,13811,9278
Energy,2014,1,2014-1,1238,3097
Equity,2014,1,2014-1,171819,871762
"Interest Rates",2014,1,2014-1,1623227,566581
Metals,2014,1,2014-1,997,0
Other,2014,1,2014-1,10,5
Agriculture,2014,10,2014-10,45,230
Currencies,2014,10,2014-10,7546,4201
Energy,2014,10,2014-10,840,2874
Equity,2014,10,2014-10,227296,1056000
"Interest Rates",2014,10,2014-10,2328314,641332
Metals,2014,10,2014-10,694,0
Other,2014,10,2014-10,5,1
Agriculture,2014,11,2014-11,720,520
Currencies,2014,11,2014-11,5524,4690
Energy,2014,11,2014-11,539,3101
Equity,2014,11,2014-11,168637,1177390
"Interest Rates",2014,11,2014-11,1441608,690643
Metals,2014,11,2014-11,639,0
Other,2014,11,2014-11,3,2
Agriculture,2014,12,2014-12,165,585
Currencies,2014,12,2014-12,7881,3110
Energy,2014,12,2014-12,1213,3424
Equity,2014,12,2014-12,1011211,1153347
"Interest Rates",2014,12,2014-12,0,0
Metals,2014,12,2014-12,NULL,0
Other,2014,12,2014-12,2,2
Agriculture,2014,2,2014-2,678,1297
Currencies,2014,2,2014-2,6641,4927
Energy,2014,2,2014-2,355,3302
Equity,2014,2,2014-2,182307,981127
"Interest Rates",2014,2,2014-2,1524033,562507
Metals,2014,2,2014-2,2057,0
Other,2014,2,2014-2,7,2
Agriculture,2014,3,2014-3,543,1367
Currencies,2014,3,2014-3,8572,7396
Energy,2014,3,2014-3,553,3737
Equity,2014,3,2014-3,1281075,1144580
"Interest Rates",2014,3,2014-3,3310067,576460
Metals,2014,3,2014-3,1040,0
Other,2014,3,2014-3,2,2
Agriculture,2014,4,2014-4,758,428
Currencies,2014,4,2014-4,4963,3253
Energy,2014,4,2014-4,1591,2781
Equity,2014,4,2014-4,294777,1179360
"Interest Rates",2014,4,2014-4,1422937,598779
Metals,2014,4,2014-4,1336,0
Other,2014,4,2014-4,5,2
Agriculture,2014,5,2014-5,228,139
Currencies,2014,5,2014-5,9080,4348
Energy,2014,5,2014-5,682,3235
Equity,2014,5,2014-5,240048,1215550
"Interest Rates",2014,5,2014-5,1869605,634527
Metals,2014,5,2014-5,468,0
Other,2014,5,2014-5,2,2
Agriculture,2014,6,2014-6,200,289
Currencies,2014,6,2014-6,4742,3945
Energy,2014,6,2014-6,382,3433
Equity,2014,6,2014-6,1211249,1149610
"Interest Rates",2014,6,2014-6,3729895,598686
Metals,2014,6,2014-6,329,0
Other,2014,6,2014-6,3,1
Agriculture,2014,7,2014-7,205,300
Currencies,2014,7,2014-7,8201,4005
Energy,2014,7,2014-7,1420,3060
Equity,2014,7,2014-7,313064,1135270
"Interest Rates",2014,7,2014-7,1568506,662525
Metals,2014,7,2014-7,457,0
Other,2014,7,2014-7,4,3
Agriculture,2014,8,2014-8,60,260
Currencies,2014,8,2014-8,2285,2439
Energy,2014,8,2014-8,357,3198
Equity,2014,8,2014-8,214334,1217990
"Interest Rates",2014,8,2014-8,1670770,597669
Metals,2014,8,2014-8,224,0
Other,2014,8,2014-8,13,2
Agriculture,2014,9,2014-9,115,210
Currencies,2014,9,2014-9,7694,3978
Energy,2014,9,2014-9,2119,3419
Equity,2014,9,2014-9,1387845,1219780
"Interest Rates",2014,9,2014-9,3626666,558499
Metals,2014,9,2014-9,641,0
Other,2014,9,2014-9,17,5
Agriculture,2015,1,2015-1,51,620
Currencies,2015,1,2015-1,5888,3421
Energy,2015,1,2015-1,1214,2647
Equity,2015,1,2015-1,122106,1136600
"Interest Rates",2015,1,2015-1,1768339,696562
Metals,2015,1,2015-1,454,0
Other,2015,1,2015-1,3,1
Agriculture,2015,10,2015-10,671,1083
Currencies,2015,10,2015-10,3037,2826
Energy,2015,10,2015-10,576,2193
Equity,2015,10,2015-10,44695,1147868
"Interest Rates",2015,10,2015-10,2057683,758237
Metals,2015,10,2015-10,533,0
Other,2015,10,2015-10,4570,2234
Agriculture,2015,11,2015-11,724,770
Currencies,2015,11,2015-11,2267,2705
Energy,2015,11,2015-11,409,2177
Equity,2015,11,2015-11,57938,1184150
"Interest Rates",2015,11,2015-11,2136148,815885
Metals,2015,11,2015-11,344,0
Other,2015,11,2015-11,1490,2400
Agriculture,2015,12,2015-12,999,640
Currencies,2015,12,2015-12,4063,3919
Energy,2015,12,2015-12,705,2451
Equity,2015,12,2015-12,762164,1195579
"Interest Rates",2015,12,2015-12,3681925,718925
Metals,2015,12,2015-12,458,0
Other,2015,12,2015-12,1023,2744
Agriculture,2015,2,2015-2,76,636
Currencies,2015,2,2015-2,5796,4330
Energy,2015,2,2015-2,664,3018
Equity,2015,2,2015-2,200866,1294534
"Interest Rates",2015,2,2015-2,1897168,729205
Metals,2015,2,2015-2,364,0
Other,2015,2,2015-2,1,2
Agriculture,2015,3,2015-3,45,475
Currencies,2015,3,2015-3,5863,2977
Energy,2015,3,2015-3,211,3078
Equity,2015,3,2015-3,1437126,1280806
"Interest Rates",2015,3,2015-3,3961453,717173
Metals,2015,3,2015-3,1203,0
Other,2015,3,2015-3,2,2
Agriculture,2015,4,2015-4,5,480
Currencies,2015,4,2015-4,2374,1988
Energy,2015,4,2015-4,1088,2153
Equity,2015,4,2015-4,408506,1295039
"Interest Rates",2015,4,2015-4,1745486,736550
Metals,2015,4,2015-4,1216,0
Other,2015,4,2015-4,1,1
Agriculture,2015,5,2015-5,255,0
Currencies,2015,5,2015-5,4806,2548
Energy,2015,5,2015-5,388,2225
Equity,2015,5,2015-5,202430,1238307
"Interest Rates",2015,5,2015-5,2262251,817811
Metals,2015,5,2015-5,1127,0
Other,2015,5,2015-5,3,2
Agriculture,2015,6,2015-6,60,250
Currencies,2015,6,2015-6,4918,2271
Energy,2015,6,2015-6,307,2345
Equity,2015,6,2015-6,948523,1164671
"Interest Rates",2015,6,2015-6,4155860,651975
Metals,2015,6,2015-6,699,0
Other,2015,6,2015-6,2,2
Agriculture,2015,7,2015-7,50,200
Currencies,2015,7,2015-7,4484,1661
Energy,2015,7,2015-7,877,1881
Equity,2015,7,2015-7,70339,1170405
"Interest Rates",2015,7,2015-7,2193141,681247
Metals,2015,7,2015-7,1684,NULL
Other,2015,7,2015-7,1,1
Agriculture,2015,8,2015-8,532,377
Currencies,2015,8,2015-8,4380,2355
Energy,2015,8,2015-8,714,2384
Equity,2015,8,2015-8,217626,1261234
"Interest Rates",2015,8,2015-8,2293811,711428
Metals,2015,8,2015-8,1105,0
Other,2015,8,2015-8,1,0
Agriculture,2015,9,2015-9,660,737
Currencies,2015,9,2015-9,3831,1917
Energy,2015,9,2015-9,465,2466
Equity,2015,9,2015-9,1390632,1139300
"Interest Rates",2015,9,2015-9,3633080,672801
Metals,2015,9,2015-9,686,0
Other,2015,9,2015-9,1950,4336
Agriculture,2016,1,2016-1,1172,1439
Currencies,2016,1,2016-1,3433,1407
Energy,2016,1,2016-1,1249,2675
Equity,2016,1,2016-1,59030,1159558
"Interest Rates",2016,1,2016-1,2493647,837694
Metals,2016,1,2016-1,515,0
Other,2016,1,2016-1,1933,2177
Agriculture,2016,10,2016-10,225,387
Currencies,2016,10,2016-10,3797,3179
Energy,2016,10,2016-10,1337,2791
Equity,2016,10,2016-10,36291,870203
"Interest Rates",2016,10,2016-10,3010430,921926
Metals,2016,10,2016-10,479,0
Other,2016,10,2016-10,2521,3722
Agriculture,2016,11,2016-11,400,622
Currencies,2016,11,2016-11,6368,2268
Energy,2016,11,2016-11,892,3161
Equity,2016,11,2016-11,79122,838400
"Interest Rates",2016,11,2016-11,3087470,966403
Metals,2016,11,2016-11,754,0
Other,2016,11,2016-11,1513,3631
Agriculture,2016,12,2016-12,430,1015
Currencies,2016,12,2016-12,4094,2107
Energy,2016,12,2016-12,487,3202
Equity,2016,12,2016-12,1323513,664005
"Interest Rates",2016,12,2016-12,4397248,896460
Metals,2016,12,2016-12,584,0
Other,2016,12,2016-12,900,3572
Agriculture,2016,2,2016-2,717,1650
Currencies,2016,2,2016-2,1083,1034
Energy,2016,2,2016-2,952,3121
Equity,2016,2,2016-2,112230,1120560
"Interest Rates",2016,2,2016-2,2880015,857559
Metals,2016,2,2016-2,780,0
Other,2016,2,2016-2,435,1665
Agriculture,2016,3,2016-3,794,1716
Currencies,2016,3,2016-3,3644,1926
Energy,2016,3,2016-3,868,3333
Equity,2016,3,2016-3,1503443,1087639
"Interest Rates",2016,3,2016-3,4422460,770541
Metals,2016,3,2016-3,779,0
Other,2016,3,2016-3,1291,1664
Agriculture,2016,4,2016-4,950,1579
Currencies,2016,4,2016-4,3053,3468
Energy,2016,4,2016-4,788,2645
Equity,2016,4,2016-4,426765,1089289
"Interest Rates",2016,4,2016-4,2390087,840670
Metals,2016,4,2016-4,559,0
Other,2016,4,2016-4,764,1983
Agriculture,2016,5,2016-5,376,1264
Currencies,2016,5,2016-5,6442,4188
Energy,2016,5,2016-5,310,2768
Equity,2016,5,2016-5,298975,1166564
