Standardized_Contract,Contract_Type,Group_Name,Country,Region,Exchange_Name,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change, Volume_YTD ,Volume_YTD_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change, Open_Interest_YTD ,Open_Interest_YTD_Change
Euro Stoxx Oil & Gas,Future,Equity,Germany,Europe,Eurex,Eurex,"42,336",231.00%,-37.40%," 256,569 ",-21.90%,"10,605",-15.00%,-23.90%," 121,975 ",-13.40%
Stoxx Europe 600 Insurance,Option,Equity,Germany,Europe,Eurex,Eurex,"10,000",237.30%,296.40%," 17,161 ",148.10%,"10,758",238.30%,876.20%," 23,003 ",172.70%
Stoxx Europe 600 Technology,Future,Equity,Germany,Europe,Eurex,Eurex,"42,193",289.50%,92.20%," 179,135 ",54.20%,"10,807",-24.10%,58.10%," 95,700 ",32.50%
MSCI Pacific NTR (USD) (FMPA),Future,Equity,Germany,Europe,Eurex,Eurex,"23,550",232.50%,301.30%," 89,155 ",1404.00%,"11,010",-1.70%,275.30%," 85,393 ",2810.50%
Stoxx Europe Mid 200,Future,Equity,Germany,Europe,Eurex,Eurex,"33,936",507.50%,-8.40%," 142,808 ",-29.00%,"11,304",-10.80%,-25.40%," 121,952 ",-16.70%
MSCI Emerging Markets Asia (OMEA),Option,Equity,Germany,Europe,Eurex,Eurex,"2,975",,," 11,362 ",72.70%,"11,362",35.50%,178.70%," 77,975 ",191.50%
MSCI France GTR (EUR) (FMGF),Future,Equity,Germany,Europe,Eurex,Eurex,"23,180",,," 34,770 ",,"11,590",0.00%,," 42,430 ",
MSCI Emerging Markets NTR (EUR) (OMEN),Option,Equity,Germany,Europe,Eurex,Eurex,0,,," 16,406 ",-52.90%,"11,643",0.00%,-11.20%," 106,551 ",29.20%
Stoxx Europe 600 Real Estate,Option,Equity,Germany,Europe,Eurex,Eurex,0,-100.00%,," 11,750 ",,"11,750",0.00%,," 23,500 ",
Stoxx Europe 600 Healthcare,Future,Equity,Germany,Europe,Eurex,Eurex,"50,012",230.20%,-19.90%," 302,401 ",10.00%,"12,447",-12.80%,-30.00%," 169,332 ",5.20%
iShares Euro Stoxx 50 UCITS ETF,Option,Equity,Germany,Europe,Eurex,Eurex,"24,705",14.30%,339.30%," 201,175 ",-10.90%,"13,021",-64.50%,-13.40%," 262,311 ",21.80%
Euro Stoxx Small,Future,Equity,Germany,Europe,Eurex,Eurex,"36,343",361.30%,-27.90%," 122,673 ",-35.10%,"13,224",11.60%,15.90%," 77,074 ",-46.70%
Dax 1st Friday Weekly,Option,Equity,Germany,Europe,Eurex,Eurex,"30,813",-63.10%,-15.60%," 467,422 ",1.10%,"14,004",-39.30%,-5.40%," 156,961 ",4.70%
MSCI South Africa,Future,Equity,Germany,Europe,Eurex,Eurex,"28,230",324.90%,1673.20%," 71,637 ",2785.10%,"14,009",17.40%,1673.30%," 75,788 ",4363.40%
Euro Stoxx Utilities,Option,Equity,Germany,Europe,Eurex,Eurex,"3,481",-54.80%,73.70%," 45,467 ",-48.20%,"14,041",-43.60%,-36.00%," 150,829 ",-55.00%
Stoxx Europe 600 Telecommunications,Option,Equity,Germany,Europe,Eurex,Eurex,"4,142",,8.30%," 33,582 ",140.00%,"14,199",37.60%,272.00%," 78,848 ",352.60%
Euro Stoxx 50 Index - 4th Friday,Option,Equity,Germany,Europe,Eurex,Eurex,"294,232",-23.00%,-42.20%," 5,121,304 ",33.90%,"14,884",-12.90%,3222.30%," 142,737 ",324.50%
MSCI Malaysia,Future,Equity,Germany,Europe,Eurex,Eurex,"15,051",-24.10%,372.70%," 88,353 ",1611.30%,"16,266",-8.90%,412.20%," 122,961 ",756.90%
All Options on Great Britain Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"8,038",-27.40%,-76.90%," 83,463 ",-55.00%,"16,635",-33.40%,-66.20%," 235,499 ",-41.10%
Stoxx Europe 600 Industrial Goods & Services,Future,Equity,Germany,Europe,Eurex,Eurex,"75,626",333.70%,-8.70%," 231,614 ",-20.40%,"17,051",-21.40%,-45.20%," 124,175 ",-40.10%
MSCI Mexico,Future,Equity,Germany,Europe,Eurex,Eurex,"29,910",69.20%,6170.40%," 133,134 ",4178.10%,"18,116",-29.80%,6788.20%," 163,307 ",5291.40%
Stoxx Europe 50 Index,Option,Equity,Germany,Europe,Eurex,Eurex,"2,104",,1795.50%," 8,651 ",-54.50%,"18,465",12.80%,437.70%," 124,260 ",388.30%
Euro Stoxx,Future,Equity,Germany,Europe,Eurex,Eurex,"69,088",455.20%,188.30%," 252,594 ",91.80%,"18,564",-14.10%,142.00%," 143,860 ",50.30%
Euro Stoxx Utilities,Future,Equity,Germany,Europe,Eurex,Eurex,"70,312",280.50%,43.40%," 302,882 ",-18.20%,"18,639",-4.00%,15.80%," 170,963 ",24.90%
MSCI World (OMWP),Option,Equity,Germany,Europe,Eurex,Eurex,"3,786",,-26.30%," 10,841 ",110.90%,"18,981",24.90%,269.30%," 140,351 ",2630.60%
Euro Stoxx Insurance,Option,Equity,Germany,Europe,Eurex,Eurex,"3,930",-24.90%,675.10%," 21,042 ",-65.90%,"19,363",-8.50%,103.10%," 138,742 ",7.10%
MSCI Canada GTR (USD)(FMGC),Future,Equity,Germany,Europe,Eurex,Eurex,"36,870",1353.90%,," 163,103 ",,"20,169",-4.70%,," 214,354 ",
Euro Stoxx 50 Index (USD) (FESQ),Future,Equity,Germany,Europe,Eurex,Eurex,154,15300.00%,-48.30%," 73,393 ",158.80%,"20,332",0.00%,181.10%," 200,895 ",134.20%
Stoxx Europe 600 Telecom,Future,Equity,Germany,Europe,Eurex,Eurex,"89,735",283.50%,26.10%," 453,650 ",29.10%,"20,937",4.90%,17.90%," 188,330 ",23.30%
Stoxx Europe 600 Insurance,Future,Equity,Germany,Europe,Eurex,Eurex,"66,672",194.90%,6.00%," 496,558 ",25.90%,"21,890",-5.60%,106.40%," 280,653 ",92.90%
MSCI UK NTR (USD) (FMDK),Future,Equity,Germany,Europe,Eurex,Eurex,"42,176",,," 80,601 ",,"21,923",38.90%,," 95,441 ",
MSCI Thailand,Future,Equity,Germany,Europe,Eurex,Eurex,"35,993",77.20%,480.30%," 151,734 ",2346.10%,"22,392",-19.80%,432.80%," 225,689 ",4760.80%
ATX,Future,Equity,Germany,Europe,Eurex,Eurex,"51,592",6285.10%,-44.10%," 197,831 ",-30.60%,"22,425",-4.00%,-45.80%," 239,828 ",-33.60%
Euro Stoxx Banks Index Dividend,Future,Equity,Germany,Europe,Eurex,Eurex,"8,650",166.20%,394.30%," 20,935 ",317.90%,"23,024",46.90%,204.40%," 123,386 ",152.50%
MSCI World (FMWN),Future,Equity,Germany,Europe,Eurex,Eurex,"135,632",118.80%,-32.10%," 740,190 ",-20.30%,"23,091",-73.00%,-80.40%," 832,456 ",21.20%
Euro Stoxx Mid,Future,Equity,Germany,Europe,Eurex,Eurex,"75,471",808.00%,564.00%," 314,892 ",340.20%,"23,461",-33.00%,1636.60%," 233,279 ",294.50%
MSCI Europe (FMEF),Future,Equity,Germany,Europe,Eurex,Eurex,"5,788",-70.70%,558.50%," 57,329 ",1731.00%,"24,185",-24.90%,3082.20%," 116,177 ",3444.10%
MSCI Indonesia,Future,Equity,Germany,Europe,Eurex,Eurex,"28,766",10.60%,385.90%," 137,492 ",1516.60%,"24,455",-9.00%,331.50%," 196,341 ",592.70%
Stoxx Europe 600 Basic Resources,Option,Equity,Germany,Europe,Eurex,Eurex,"24,882",60.70%,21.10%," 179,847 ",-37.80%,"25,333",14.40%,-24.30%," 241,304 ",-36.20%
Stoxx Europe 50 Index,Future,Equity,Germany,Europe,Eurex,Eurex,"113,085",425.60%,19.70%," 580,342 ",-7.40%,"26,260",-24.00%,19.80%," 280,451 ",1.00%
All Options on Russian Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"3,559",-13.10%,-97.30%," 221,797 ",-46.10%,"27,091",-1.60%,-89.10%," 455,359 ",-63.50%
Stoxx Europe Small 200,Future,Equity,Germany,Europe,Eurex,Eurex,"104,578",1661.20%,-5.80%," 414,797 ",-21.70%,"27,114",-12.60%,-24.60%," 303,563 ",-11.20%
Stoxx Europe 600 Automobiles & Parts,Option,Equity,Germany,Europe,Eurex,Eurex,"20,385",285.00%,100.00%," 77,338 ",-25.10%,"27,224",31.00%,89.00%," 135,728 ",20.30%
Euro Stoxx Select Dividend 30 Index,Future,Equity,Germany,Europe,Eurex,Eurex,"69,827",974.30%,-6.40%," 364,740 ",49.60%,"27,269",-5.30%,-7.60%," 292,051 ",26.00%
Stoxx Europe 600 Automobiles & Parts,Future,Equity,Germany,Europe,Eurex,Eurex,"140,629",159.60%,128.20%," 517,158 ",52.90%,"29,686",-3.40%,191.90%," 184,300 ",66.50%
MSCI North America NTR (USD) (FMNA),Future,Equity,Germany,Europe,Eurex,Eurex,"60,073",1432.10%,," 107,999 ",,"30,085",81.40%,," 86,118 ",
Euro Stoxx 50 Index - 2nd Friday,Option,Equity,Germany,Europe,Eurex,Eurex,"298,218",24.70%,-30.40%," 2,933,230 ",2.60%,"30,399",-38.30%,51.10%," 447,173 ",27.10%
MSCI EAFE Price Index (OMFP),Option,Equity,Germany,Europe,Eurex,Eurex,"6,318",-64.80%,," 33,530 ",,"31,740",23.80%,," 68,508 ",
MSCI Australia (FMAU),Future,Equity,Germany,Europe,Eurex,Eurex,"61,172",549.90%,356.40%," 191,295 ",1306.20%,"33,529",24.20%,332.70%," 229,812 ",2757.60%
3 Month Euribor,Future,Interest Rates,Germany,Europe,Eurex,Eurex,"7,711",6.40%,-21.30%," 60,126 ",-56.80%,"36,225",-9.00%,-51.30%," 521,274 ",-22.80%
MSCI Emerging Markets Latin America,Future,Equity,Germany,Europe,Eurex,Eurex,"81,686",421.50%,5549.10%," 230,070 ",3307.90%,"36,643",0.90%,1724.90%," 237,960 ",4641.20%
MSCI World (FMWO),Future,Equity,Germany,Europe,Eurex,Eurex,"111,832",218.50%,311.80%," 516,052 ",201.10%,"39,375",1.40%,288.20%," 351,417 ",208.20%
Stoxx Europe 600 Utilities,Future,Equity,Germany,Europe,Eurex,Eurex,"159,928",439.80%,109.30%," 642,145 ",95.90%,"44,645",7.90%,81.30%," 348,028 ",68.40%
RDX USD Index,Future,Equity,Germany,Europe,Eurex,Eurex,"88,517",66.60%,-27.80%," 601,503 ",-23.30%,"49,180",-21.70%,-27.10%," 534,361 ",-21.10%
Stoxx Europe 600 Basic Resources,Future,Equity,Germany,Europe,Eurex,Eurex,"242,590",225.20%,23.50%," 1,179,015 ",15.70%,"49,197",-38.40%,18.20%," 550,827 ",96.80%
MSCI Emerging Markets NTR (USD) (OMEM),Option,Equity,Germany,Europe,Eurex,Eurex,"21,059",21.20%,134.70%," 164,668 ",20.10%,"52,434",-39.60%,98.60%," 593,221 ",134.50%
Stoxx Europe 600 Oil & Gas,Future,Equity,Germany,Europe,Eurex,Eurex,"231,268",141.70%,-12.70%," 1,335,479 ",-7.70%,"52,676",-5.30%,-1.00%," 476,911 ",-4.90%
MSCI World,Option,Equity,Germany,Europe,Eurex,Eurex,"23,429",63.30%,1724.70%," 277,629 ",139.60%,"53,578",-25.20%,-4.20%," 700,462 ",98.20%
MSCI Emerging Markets USD (OMEF),Option,Equity,Germany,Europe,Eurex,Eurex,"22,197",15.40%,240.30%," 99,539 ",71.30%,"55,258",33.70%,694.90%," 223,005 ",107.20%
MSCI Europe,Future,Equity,Germany,Europe,Eurex,Eurex,"172,142",432.60%,-59.60%," 1,075,152 ",-21.10%,"57,474",-50.50%,-67.60%," 1,253,502 ",7.30%
MSCI Emerging Markets EMEA,Future,Equity,Germany,Europe,Eurex,Eurex,"82,623",53.10%,1362.40%," 299,585 ",3400.60%,"61,055",-27.30%,1579.60%," 383,370 ",4630.00%
MSCI Europe NTR (USD) (FMED),Future,Equity,Germany,Europe,Eurex,Eurex,"52,990",-5.60%,51851.00%," 299,613 ",59822.60%,"66,736",-36.30%,107538.70%," 469,097 ",97021.50%
Stoxx Europe 600 Banks,Option,Equity,Germany,Europe,Eurex,Eurex,"14,379",84.40%,-79.70%," 155,051 ",-70.10%,"80,175",4.40%,-31.90%," 655,668 ",-33.60%
MSCI Emerging Markets,Future,Equity,Germany,Europe,Eurex,Eurex,"124,458",888.20%,10429.40%," 371,054 ",645.00%,"85,583",-1.00%,11235.50%," 486,222 ",892.40%
Stoxx Europe 600 Oil & Gas,Option,Equity,Germany,Europe,Eurex,Eurex,"48,984",193.50%,136.60%," 281,295 ",-16.90%,"106,911",-30.20%,13.00%," 971,514 ",11.60%
MSCI China Free,Future,Equity,Germany,Europe,Eurex,Eurex,"55,412",-67.40%,4.10%," 607,338 ",583.30%,"114,576",1.30%,246.50%," 767,061 ",355.00%
MSCI Japan Index,Future,Equity,Germany,Europe,Eurex,Eurex,"101,047",-27.80%,326.30%," 733,131 ",2841.50%,"118,624",-11.80%,750.10%," 863,006 ",5820.30%
DAX,Future,Equity,Germany,Europe,Eurex,Eurex,"1,878,979",-2.50%,-30.00%," 16,246,902 ",-23.20%,"120,193",-6.20%,-3.20%," 1,322,896 ",13.00%
Euro Stoxx Select Dividend 30 Index,Option,Equity,Germany,Europe,Eurex,Eurex,"2,000",-60.00%,-82.40%," 119,900 ",389.80%,"129,930",0.00%,499.30%," 1,074,370 ",1715.40%
Stoxx Europe 600 Banks,Future,Equity,Germany,Europe,Eurex,Eurex,"495,538",278.10%,-11.90%," 2,590,476 ",8.90%,"139,401",17.90%,35.00%," 1,211,961 ",60.70%
Euro Stoxx 50 Index - 1st Friday,Option,Equity,Germany,Europe,Eurex,Eurex,"224,915",-60.80%,-8.30%," 3,835,213 ",41.30%,"141,158",-36.80%,1.20%," 1,687,742 ",48.70%
All Options on Belgian Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"42,002",-25.00%,-38.20%," 471,114 ",7.80%,"148,184",-10.70%,4.60%," 1,304,615 ",-1.70%
Stoxx Europe 600,Option,Equity,Germany,Europe,Eurex,Eurex,"1,216",-98.60%,-39.60%," 349,706 ",503.70%,"164,006",-8.60%,562.40%," 1,233,876 ",471.70%
All Options on Austrian Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"41,759",-23.80%,42.30%," 437,927 ",22.40%,"179,467",-11.20%,96.30%," 1,583,347 ",65.30%
Swiss Market Index (SMI),Future,Equity,Germany,Europe,Eurex,Eurex,"1,282,363",84.50%,-8.40%," 8,321,065 ",-11.50%,"197,679",8.00%,16.40%," 1,874,484 ",11.10%
Euro Stoxx 50 Index Total Return (TESX),Future,Equity,Germany,Europe,Eurex,Eurex,"75,192",56.90%,," 290,850 ",,"198,923",24.20%,," 932,564 ",
Short Term Euro-BTP,Future,Interest Rates,Germany,Europe,Eurex,Eurex,"1,391,346",92.80%,111.70%," 8,740,559 ",80.70%,"205,997",-16.00%,148.90%," 1,981,651 ",151.10%
Euro-Buxl,Future,Interest Rates,Germany,Europe,Eurex,Eurex,"1,504,006",69.30%,8.00%," 10,652,736 ",30.30%,"207,370",-11.30%,44.10%," 1,839,700 ",59.10%
MSCI Emerging Markets Asia,Future,Equity,Germany,Europe,Eurex,Eurex,"62,087",-77.90%,-53.30%," 1,109,434 ",195.80%,"212,513",-30.40%,127.50%," 1,527,667 ",409.10%
RDX USD Index,Option,Equity,Germany,Europe,Eurex,Eurex,"71,480",35.80%,18.20%," 414,492 ",-12.80%,"246,837",4.90%,-23.30%," 2,096,769 ",-19.90%
Stoxx Europe 600,Future,Equity,Germany,Europe,Eurex,Eurex,"1,439,085",110.60%,-16.60%," 8,665,884 ",-3.20%,"275,787",3.60%,-19.80%," 2,579,516 ",-6.60%
Euro-BTP,Future,Interest Rates,Germany,Europe,Eurex,Eurex,"2,853,619",75.40%,-6.70%," 22,125,390 ",7.80%,"317,391",-15.10%,21.10%," 3,383,903 ",43.30%
Mini VSTOXX,Future,Equity,Germany,Europe,Eurex,Eurex,"896,417",-30.40%,-0.50%," 10,105,414 ",42.50%,"322,770",17.80%,9.30%," 2,850,399 ",58.50%
VSTOXX (OVS2),Option,Equity,Germany,Europe,Eurex,Eurex,"273,978",89.30%,," 579,002 ",,"335,839",77.30%,," 776,690 ",
Euro-OAT,Future,Interest Rates,Germany,Europe,Eurex,Eurex,"3,625,413",51.00%,13.20%," 28,138,887 ",41.10%,"435,448",-26.10%,58.30%," 4,926,422 ",137.80%
Euro-Bobl,Option,Interest Rates,Germany,Europe,Eurex,Eurex,"939,109",19.00%,-34.40%," 10,552,242 ",80.90%,"462,342",1.30%,2.20%," 5,135,889 ",132.60%
Euro-Schatz,Option,Interest Rates,Germany,Europe,Eurex,Eurex,"512,402",-31.90%,-31.20%," 14,675,434 ",68.00%,"583,198",2.70%,65.20%," 9,142,430 ",119.40%
Swiss Market Index (SMI),Option,Equity,Germany,Europe,Eurex,Eurex,"295,615",19.80%,10.30%," 2,913,242 ",0.70%,"797,118",0.50%,25.60%," 7,112,756 ",24.60%
Euro Stoxx 50 Index Dividend,Future,Equity,Germany,Europe,Eurex,Eurex,"358,481",16.20%,-11.30%," 3,174,481 ",-28.70%,"838,660",-1.00%,-17.70%," 7,102,618 ",-16.30%
Euro-Bund,Option,Interest Rates,Germany,Europe,Eurex,Eurex,"3,212,987",-3.20%,1.00%," 33,031,034 ",32.70%,"941,124",-0.40%,18.80%," 9,889,386 ",38.60%
Euro Stoxx Banks,Future,Equity,Germany,Europe,Eurex,Eurex,"6,240,188",125.70%,28.90%," 42,764,666 ",35.60%,"1,163,518",-0.60%,65.60%," 9,460,581 ",50.10%
Euro Stoxx 50 Index Dividend,Option,Equity,Germany,Europe,Eurex,Eurex,"79,840",156.30%,-9.20%," 806,852 ",-16.90%,"1,224,822",3.20%,-8.10%," 10,189,849 ",-4.10%
Euro-Schatz,Future,Interest Rates,Germany,Europe,Eurex,Eurex,"8,897,201",57.30%,-0.70%," 64,437,766 ",24.60%,"1,247,319",-17.50%,18.70%," 11,652,667 ",25.00%
Euro-Bobl,Future,Interest Rates,Germany,Europe,Eurex,Eurex,"13,505,842",70.20%,-3.70%," 101,687,741 ",6.20%,"1,436,203",-3.10%,17.30%," 12,177,524 ",20.10%
Euro-Bund,Future,Interest Rates,Germany,Europe,Eurex,Eurex,"18,644,768",47.90%,-4.90%," 148,641,372 ",10.70%,"1,700,053",-10.00%,11.20%," 16,230,204 ",28.30%
Dax,Option,Equity,Germany,Europe,Eurex,Eurex,"1,474,137",-22.50%,-28.60%," 16,927,964 ",-20.80%,"1,826,062",-12.50%,-20.40%," 18,671,868 ",-16.00%
All Options on Spanish Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"328,211",-19.70%,-57.30%," 4,384,071 ",-21.70%,"2,272,234",-10.60%,-32.50%," 22,276,590 ",-6.90%
All Options on Italian Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"438,644",8.40%,-37.00%," 4,097,255 ",-17.50%,"2,322,364",-5.00%,-4.80%," 20,005,688 ",21.20%
All Options on Finnish Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"635,615",97.60%,20.70%," 5,458,579 ",-28.20%,"2,489,310",5.60%,18.90%," 21,256,865 ",3.50%
Single Stock Dividend,Future,Equity,Germany,Europe,Eurex,Eurex,"238,709",-22.90%,-20.60%," 3,059,376 ",20.10%,"2,748,463",3.80%,18.20%," 20,666,490 ",16.70%
Euro Stoxx 50 Index,Future,Equity,Germany,Europe,Eurex,Eurex,"28,201,078",40.80%,-25.80%," 215,803,667 ",-27.10%,"3,381,308",-5.90%,-6.80%," 33,995,181 ",-5.50%
All Options on Dutch Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"1,092,098",38.40%,20.90%," 10,252,746 ",16.20%,"3,692,284",-2.10%,20.50%," 32,621,193 ",21.70%
Euro Stoxx Banks,Option,Equity,Germany,Europe,Eurex,Eurex,"2,200,157",44.70%,-5.90%," 26,850,987 ",41.90%,"3,835,039",-8.10%,10.60%," 39,770,120 ",48.90%
All Futures on Individual Equities,Future,Equity,Germany,Europe,Eurex,Eurex,"5,428,369",249.90%,25.40%," 81,791,967 ",-3.40%,"5,410,167",-6.70%,44.20%," 62,009,448 ",34.90%
All Options on French Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"2,150,942",39.80%,5.00%," 16,638,323 ",1.00%,"7,949,682",-1.30%,18.30%," 65,287,403 ",19.40%
All Options on Swiss Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"3,442,916",12.30%,10.80%," 32,498,607 ",-4.50%,"11,368,702",-2.50%,2.20%," 104,364,584 ",1.90%
All Options on German Equities,Option,Equity,Germany,Europe,Eurex,Eurex,"6,225,609",13.30%,-14.20%," 53,961,113 ",-14.00%,"18,794,382",-1.00%,-1.20%," 156,492,934 ",-4.40%
Euro Stoxx 50 Index,Option,Equity,Germany,Europe,Eurex,Eurex,"18,690,147",-7.50%,-17.00%," 201,416,660 ",-8.10%,"32,066,743",-6.40%,2.00%," 301,350,074 ",5.80%
iShares Euro Stoxx 50 UCITS ETF (Dist) (Weekly),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,11,-86.90%,," 1,357 ",,0,-100.00%,, 205 ,
Nitrogen Fertiliser Solution,Future,Other,United Kingdom,Europe,Euronext Derivatives Market,Euronext,11,-54.20%,, 289 ,,0,-100.00%,, 304 ,
iShares MSCI Emerging Markets UCITS ETF (Dist) (Weekly),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,1,-87.50%,, 35 ,,1,-83.30%,, 12 ,
CAC 40 (Weekly),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,178,256.00%,-96.00%," 15,801 ",-65.90%,6,0.00%,-98.80%," 1,883 ",-59.70%
AEX Mini,Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,489,-60.60%,-96.00%," 11,288 ",-81.00%,38,-35.60%,-29.60%, 543 ,-24.40%
CAC 40 Mini,Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,335,-34.30%,-86.90%," 5,079 ",-56.70%,57,67.60%,-73.20%, 605 ,-40.90%
Bel 20 Index (BXF),Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,130,-11.60%,3.20%," 2,192 ",-20.30%,62,67.60%,29.20%, 581 ,-35.30%
iShares Core FTSE 100 UCITS ETF (Dist),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,0,,, 137 ,,106,-0.90%,, 870 ,
iShares MSCI World UCITS ETF (Dist),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,74,-37.80%,146.70%," 4,026 ",802.70%,203,3.60%,103.00%," 3,008 ",133.90%
Rapeseed Meal,Future,Agriculture,United Kingdom,Europe,Euronext Derivatives Market,Euronext,260,-64.40%,-59.50%," 8,608 ",-14.40%,233,5.90%,-35.30%," 7,119 ",24.50%
iShares MSCI Japan EUR Hedged UCITS ETF,Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,18,260.00%,800.00%, 384 ,262.30%,242,5.20%,1761.50%," 1,468 ",1123.30%
iShares MSCI Emerging Markets UCITS ETF (Dist),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,57,111.10%,23.90%, 783 ,155.00%,260,4.00%,4.80%," 1,902 ",7.00%
iShares S&P 500 UCITS ETF (Dist),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,190,352.40%,-63.30%, 778 ,-40.90%,288,39.10%,-67.90%," 1,766 ",-53.90%
AEX Mini,Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"2,340",-0.10%,180.90%," 12,997 ",15.70%,373,-68.10%,56.10%," 3,143 ",-35.90%
iShares MSCI Europe UCITS ETF (Dist),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,13,-45.80%,-88.40%, 870 ,106.70%,786,0.60%,362.40%," 6,224 ",682.90%
iShares Euro Stoxx 50 UCITS ETF (Dist),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,332,-19.40%,34.40%," 8,164 ",66.50%,"3,602",-0.20%,256.30%," 21,854 ",171.30%
AEX Daily,Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"155,074",-42.40%,26.80%," 1,319,290 ",29.50%,"4,134",,48.00%," 18,373 ",83.50%
FTSE EPRA Europe,Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"23,834",1719.40%,51.20%," 72,466 ",-2.70%,"7,913",7.60%,6.20%," 63,137 ",-10.00%
AEX Weekly,Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"157,718",-26.40%,39.60%," 1,245,505 ",17.30%,"10,404",-51.60%,67.80%," 93,022 ",25.60%
Stock Dividend,Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,381,-35.20%,-66.50%," 9,286 ",-21.60%,"12,585",2.40%,-3.70%," 93,702 ",7.20%
PSI 20 Index,Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"33,019",1062.60%,-12.00%," 134,775 ",-11.70%,"15,102",-1.80%,0.40%," 141,432 ",-7.70%
Corn,Option,Agriculture,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"5,002",-24.80%,69.80%," 27,806 ",-53.70%,"16,350",15.30%,-39.60%," 112,303 ",-44.80%
All Futures on Individual Equities,Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"33,207",56.20%,102.80%," 303,042 ",59.50%,"23,330",58225.00%,-50.00%," 110,287 ",-79.40%
Corn,Future,Agriculture,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"30,129",7.50%,9.70%," 255,936 ",-34.50%,"27,840",27.20%,-9.90%," 183,687 ",-20.20%
AEX Stock Index (FTI),Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"609,983",-17.20%,-22.70%," 6,712,300 ",-10.10%,"59,959",4.20%,-2.30%," 616,391 ",15.70%
Rapeseed,Option,Agriculture,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"25,473",22.30%,27.50%," 183,604 ",-37.70%,"63,625",4.50%,-18.00%," 427,634 ",-42.30%
Rapeseed,Future,Agriculture,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"208,693",6.60%,-2.70%," 2,027,031 ",11.90%,"91,428",12.50%,6.40%," 741,852 ",16.80%
CAC 40 Dividend Index,Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"20,605",62.30%,157.60%," 327,813 ",133.20%,"125,039",3.90%,69.80%," 908,625 ",66.80%
Milling Wheat,Option,Agriculture,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"51,474",-42.40%,12.60%," 618,863 ",-43.50%,"216,440",14.80%,-0.70%," 1,548,780 ",-34.90%
AEX Stock Index,Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"528,744",-28.70%,14.40%," 5,157,605 ",24.50%,"258,994",-6.50%,31.60%," 1,970,871 ",6.50%
Milling Wheat,Future,Agriculture,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"574,778",-40.30%,13.70%," 7,096,909 ",-0.40%,"321,766",-7.30%,16.30%," 2,817,989 ",7.20%
CAC 40 (€10),Future,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"2,422,619",-13.80%,-15.90%," 25,415,351 ",-0.40%,"396,316",13.30%,24.70%," 3,579,741 ",41.30%
CAC 40 (€10),Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"293,165",33.10%,70.30%," 3,048,930 ",82.10%,"736,901",5.30%,154.80%," 5,739,821 ",141.60%
All Options on Individual Equities,Option,Equity,United Kingdom,Europe,Euronext Derivatives Market,Euronext,"5,355,073",2.10%,25.90%," 51,255,271 ",21.30%,"14,498,970",-2.10%,10.30%," 119,102,538 ",1.90%
