Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Country,Region,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change
Copper,Future,Metals,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,543,398.17%,105.68%,333,44.78%,
Copper,Future,Metals,Moscow Exchange,Russia,Europe,Moscow Exchange,5,-92.86%,-99.93%,2,-80.00%,-99.80%
Copper,Future,Metals,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"834,214",20.26%,-11.53%,"22,222",5.93%,-38.22%
Copper,Future,Metals,Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,"2,366",-39.15%,,233,-21.28%,
Copper,Future,Metals,Shanghai Futures Exchange,China,Asia,Shanghai Futures Exchange,"5,441,989",36.18%,27.04%,"343,515",-5.84%,33.24%
Copper,Option,Metals,North American Derivative Exchange,United States,North America,North American Derivative Exchange,522,15.49%,-68.65%,,,
Copper (HG),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,"2,944,987",69.20%,56.99%,"328,909",4.08%,72.57%
Copper (HX),Option,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,"10,432",74.19%,211.31%,"6,319",22.06%,94.31%
Copper Financial (HGS),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,433,1868.18%,-6.48%,983,28.16%,-74.44%
Copper Grade A,Future,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,"2,864,074",-0.40%,-0.38%,"449,187",-0.23%,2.52%
Copper Grade A,Option,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,"189,713",2.90%,45.70%,"163,680",23.27%,33.83%
Copper Grade A TAPOS,Option,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,"25,624",4593.04%,26591.67%,"26,758",132.40%,1290.03%
Copper Mini,Future,Metals,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"635,909",15.63%,-12.54%,"15,141",16.89%,-39.83%
Coriander,Future,Agriculture,National Commodity & Derivatives Exchange,India,Asia,National Commodity & Derivatives Exchange,"29,659",34.47%,81.96%,"4,752",3.78%,149.19%
Corn,Future,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"9,294,862",9.14%,20.64%,"1,317,691",-7.24%,0.05%
Corn,Future,Agriculture,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"7,498,320",-7.56%,-10.71%,"746,765",-23.48%,-46.80%
Corn,Future,Agriculture,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"28,035",-3.32%,0.20%,"21,884",44.97%,-16.19%
Corn,Future,Agriculture,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"17,068",0.79%,83.31%,"18,311",0.07%,482.78%
Corn,Future,Agriculture,Mercado a Termino de Buenos Aires,Argentina,Latin America,Mercado a Termino de Buenos Aires,"3,446",-22.68%,-18.92%,"4,636",-2.28%,-4.37%
Corn,Future,Agriculture,Osaka Dojima Commodity Exchange,Japan,Asia,Japan Exchange,"1,977",10.57%,7.15%,50,0.00%,0.00%
Corn,Future,Agriculture,Rosario Futures Exchange,Argentina,Latin America,Rosario Futures Exchange,46,-79.37%,15.00%,47,-59.83%,104.35%
Corn,Future,Agriculture,Tokyo Commodity Exchange,Japan,Asia,Tokyo Commodity Exchange,"31,785",-7.28%,-11.45%,"15,758",23.00%,-28.33%
Corn,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"2,366,941",-28.05%,28.56%,"1,131,385",-18.81%,-3.25%
Corn,Option,Agriculture,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"6,651",223.18%,88.25%,"14,185",33.48%,-43.70%
ISO New England Monthly Off Peak LMP Swap (KI),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,70,-16.67%,-80.45%
Corn,Option,Agriculture,Mercado a Termino de Buenos Aires,Argentina,Latin America,Mercado a Termino de Buenos Aires,306,-41.04%,49.27%,"1,683",3.63%,92.56%
Corn,Option,Agriculture,North American Derivative Exchange,United States,North America,North American Derivative Exchange,579,26.14%,-76.23%,,,
ISO New England Rhode Island Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP (U5),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"9,885",-17.66%,-87.97%
Corn 75 Index,Future,Agriculture,Osaka Dojima Commodity Exchange,Japan,Asia,Japan Exchange,264,10.46%,0.00%,0,,
Corn Cash Settled,Future,Agriculture,B3,Brazil,Latin America,B3,"81,793",19.67%,,"25,453",3.86%,
ISO New England Rhode Island Zone 5 MW Peak Calendar-Month Day-Ahead LMP (U4),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,530,-15.87%,-89.93%
Corn Cash Settled,Option,Agriculture,B3,Brazil,Latin America,B3,"43,573",97.62%,,"52,849",-2.18%,
ISO New England West Central Massachusetts Zone 5 MW Off-Peak Calendar-Month Day Ahead LMP (L9),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"3,954",-17.66%,-85.20%
Corn Nearby + 2 Calendar Spread,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"5,851",462.60%,1299.76%,"6,076",91.97%,495.69%
Corn Starch,Future,Agriculture,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"3,198,542",-17.12%,-19.45%,"198,361",-47.62%,-52.09%
Cotton,Future,Agriculture,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"27,606",-32.39%,-67.72%,"6,319",41.24%,-30.99%
ISO New England West Central Massachusetts Zone 5 MW Peak Calendar-Month Day-Ahead LMP (R6),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,212,-15.87%,-91.70%
ISO-NE Massachusetts Hub Day-Ahead Off-Peak Financial (50 MWH) (NOPQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"14,956",0.00%,
ISO-NE Massachusetts Hub Day-Ahead Off-Peak Mini Financial (5 MWH) (NOMQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"79,448",0.00%,
Cotton #2,Future,Agriculture,ICE Futures U.S.,United States,North America,Intercontinental Exchange,"499,490",35.73%,-7.30%,"226,127",4.48%,-0.80%
Cotton Cake,Future,Agriculture,National Commodity & Derivatives Exchange,India,Asia,National Commodity & Derivatives Exchange,"97,149",-12.52%,-39.73%,"11,230",-22.29%,-13.66%
Cotton No. 1 (CF),Future,Agriculture,Zhengzhou Commodity Exchange,China,Asia,Zhengzhou Commodity Exchange,"2,588,711",17.14%,-68.55%,"152,103",-0.42%,-39.08%
Cotton No. 2,Option,Agriculture,ICE Futures U.S.,United States,North America,Intercontinental Exchange,"135,667",104.63%,-39.39%,"157,685",12.29%,-38.06%
ISO-NE Massachusetts Hub Day-Ahead Off-Peak Mini Financial (25 MWh) (NOLQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,-100.00%,,"4,680",0.00%,
Cotton Yarn (CY),Future,Agriculture,Zhengzhou Commodity Exchange,China,Asia,Zhengzhou Commodity Exchange,"74,016",,,"2,750",,
CPO,Future,Agriculture,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"71,753",6.64%,-39.48%,"6,773",-4.98%,-16.25%
Cross Listing Mini-Sized Soybean CME,Future,Agriculture,B3,Brazil,Latin America,B3,"5,768",-30.54%,,"2,688",-11.17%,
ISO-NE Massachusetts Hub Day-Ahead Peak Financial (50 MW) (NEPQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,958,0.00%,
Crude 10,Future,Energy,Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,"179,280",55.62%,94.38%,"2,312",21.05%,20.10%
Crude 100,Future,Energy,Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,"31,174",12.63%,3.42%,"1,213",41.54%,-22.24%
Crude Oil,Future,Energy,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,3,-89.29%,-99.69%,957,-0.31%,1853.06%
Crude Oil,Future,Energy,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"3,602,550",-0.38%,-21.96%,"18,499",27.08%,-13.68%
Crude Oil,Future,Energy,Tokyo Commodity Exchange,Japan,Asia,Tokyo Commodity Exchange,"463,679",-24.23%,12.03%,"140,249",-10.31%,-17.62%
Crude Oil,Option,Energy,North American Derivative Exchange,United States,North America,North American Derivative Exchange,"20,215",63.90%,-14.51%,,,
Crude Oil (LO),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,"3,326,187",-2.83%,-16.74%,"2,924,160",-2.42%,3.58%
Crude Oil Financial (WS),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"5,704",0.00%,135.51%,"5,879",-20.51%,20.30%
Crude Oil Mini,Future,Energy,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,"5,356,765",-0.68%,-5.27%,"43,333",27.18%,11.46%
Crude Oil Weekly Wk 1 (LO1),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,"25,359",47.33%,135.24%,"9,749",110.24%,223.03%
Crude Oil Weekly Wk 2 (LO2),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,"20,956",55.21%,468.22%,"2,238",192.17%,633.77%
Crude Oil Weekly Wk 3 (LO3),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,"10,246",-9.62%,94.86%,0,-100.00%,-100.00%
Crude Oil Weekly Wk 4 (LO4),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,"20,549",-7.31%,376.22%,952,9420.00%,23700.00%
Crude Oil Weekly Wk 5 (LO5),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,74,,,74,,
Crude Palm Oil (FCPO),Future,Agriculture,Malaysia Derivatives Exchange,Malaysia,Asia,Bursa Malaysia,"1,094,771",28.58%,1.41%,"212,091",2.39%,9.89%
Crude Palm Oil (OCPO),Option,Agriculture,Malaysia Derivatives Exchange,Malaysia,Asia,Bursa Malaysia,"3,480",-20.00%,-22.67%,"15,080",16.00%,40.93%
ISO-NE Massachusetts Hub Day-Ahead Peak Mini Financial (5 MW) (NMMQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,-100.00%,,"6,142",0.00%,
CSI 300 Index,Future,Equity,China Financial Futures Exchange,China,Asia,China Financial Futures Exchange,"357,019",-2.62%,2.34%,"39,963",-0.71%,-16.72%
CSI Housing Index,Future,Other,Chicago Mercantile Exchange,United States,North America,CME Group,18,200.00%,260.00%,45,-16.67%,25.00%
CSX Coal (Platts OTC Broker Index) (CPF),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,40,,-80.00%,40,,-91.58%
CSX Coal (Platts OTC Broker Index) (QX),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,420,,-49.09%,495,-16.53%,-78.00%
Japanese Yen (European Style),Option,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,23,0.00%,-97.28%
Jet Aviation Fuel Cargoes FOB MED (Platts) vs. Low Sulphur Gasoil (1V),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,25,-16.67%,-68.35%
Daily European Naphtha CIF NWE (Platts) (NCP),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,24,,,24,,200.00%
Kenyan Shilling/Rand (ZAKS),Future,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,0,,,"2,527",0.00%,99.61%
Daily TAIEX,Future,Equity,Eurex,Germany,Europe,Eurex,929,8.28%,-95.77%,0,,
Daily TAIEX (OTX1),Option,Equity,Eurex,Germany,Europe,Eurex,20,81.82%,-99.12%,0,,
Daily TAIEX (OTX2),Option,Equity,Eurex,Germany,Europe,Eurex,1,-80.00%,-99.94%,0,,
Daily TAIEX (OTX4),Option,Equity,Eurex,Germany,Europe,Eurex,168,2300.00%,-93.27%,0,,
Daily TAIEX (OTX5),Option,Equity,Eurex,Germany,Europe,Eurex,22,,-99.09%,0,,
Daily TAIEX (OTX),Option,Equity,Eurex,Germany,Europe,Eurex,280,-33.81%,-94.12%,0,,
Danish Krone/Rand (ZADK),Future,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,600,-63.64%,37.61%,0,,-100.00%
Danish Mortgage Bond (3MBF),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,900,-73.91%,,"2,000",11.11%,
LLS (Argus) vs. WTI Crude Oil Average Price (WJO),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,"5,900",-20.00%,-46.65%
Danish Mortgage Bond (20MBF),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,250,66.67%,,300,100.00%,
MichCon Natural Gas (Platts IFERC) Basis (NF),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,"7,553",-8.28%,-27.89%
Dated Brent (Platts) Financial (UB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,124,-91.14%,,"1,387",4.68%,-40.34%
Dated Brent (Platts) to Frontline Brent (FY),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,950",-24.42%,160.00%,"10,675",-0.09%,-4.43%
Midi BFP Milk,Option,Agriculture,Chicago Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,326,-34.93%,-23.47%
Dax,Option,Equity,Eurex,Germany,Europe,Eurex,"1,901,848",6.71%,-2.54%,"2,086,856",6.45%,-16.83%
DAX,Future,Equity,Eurex,Germany,Europe,Eurex,"1,927,553",18.42%,8.14%,"128,175",2.24%,-1.08%
Dax 1st Friday Weekly,Option,Equity,Eurex,Germany,Europe,Eurex,"83,490",66.42%,26.16%,"23,088",23.82%,26.67%
Dax 2nd Friday Weekly,Option,Equity,Eurex,Germany,Europe,Eurex,"63,490",51.21%,27.87%,"8,100",124.81%,-0.16%
Dax 4th Friday Weekly,Option,Equity,Eurex,Germany,Europe,Eurex,"61,232",18.98%,7.24%,289,19.92%,-49.30%
Dax 5th Friday Weekly,Option,Equity,Eurex,Germany,Europe,Eurex,31,3000.00%,10.71%,25,2400.00%,-3.85%
DAX Margin,Future,Equity,Tokyo Financial Exchange,Japan,Asia,Tokyo Financial Exchange,"25,859",8.68%,281.01%,"7,524",-4.02%,20.63%
db x-trackers Harvest CSI300 ETF (CRQF),Future,Equity,Eurex,Germany,Europe,Eurex,10,-80.00%,,0,-100.00%,
db x-trackers MSCI Emerging Markets TRN,Option,Equity,Eurex,Germany,Europe,Eurex,3,,-40.00%,56,-5.08%,-6.67%
Mini 1% Fuel Oil Cargoes FOB MED (Platts) (MFD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,38,-48.65%,-89.95%
Mini European 1% Fuel Oil Barges FOB Rotterdam (Platts) (T0),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,,410,-11.45%,52.42%
DC24 Bond,Future,Interest Rates,Mexican Derivatives Exchange,Mexico,Latin America,BMV Group,"31,954",41.06%,-76.40%,"42,304",39.12%,-63.14%
Dec-Dec Corn Calendar Spread,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"3,162",438.67%,62.74%,"8,539",45.20%,0.58%
Dec-July Corn Calendar Spread,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"5,094",-24.02%,-53.48%,"18,645",2.16%,46.28%
Dec-July Wheat Calendar Spread,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,225,,125.00%,225,,125.00%
Degummed Soy Oil,Future,Agriculture,National Commodity & Derivatives Exchange,India,Asia,National Commodity & Derivatives Exchange,211,-29.43%,,17,-82.65%,
Mini MSCI Canada Index,Future,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,0,-100.00%,-100.00%,1,0.00%,-80.00%
Diesel,Future,Energy,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"1,620",,-44.82%,"1,638",4717.65%,-43.75%
Mini MSCI Emerging Markets,Option,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,0,,,600,0.00%,
Mini MSCI Europe Index,Future,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,0,-100.00%,,605,0.00%,-97.37%
DIJA Index,Future,Equity,National Stock Exchange of India,India,Asia,National Stock Exchange of India,"4,717",79.08%,20.70%,637,-1.55%,71.24%
DivDAX,Future,Equity,Eurex,Germany,Europe,Eurex,2,-97.78%,-93.33%,"2,299",0.00%,78.08%
Dividend,Future,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"313,086",75.57%,-31.67%,"961,654",9.98%,37.73%
DJ Industrial Average Index (DJX),Option,Equity,Chicago Board Options Exchange,United States,North America,CBOE Holdings,"86,580",34.48%,22.23%,,,
Mini MSCI Pan Euro Index,Future,Equity,ICE Futures U.S.,United States,North America,Intercontinental Exchange,0,-100.00%,-100.00%,"5,846",0.00%,58.60%
DJ US Real Estate,Future,Other,Chicago Board of Trade,United States,North America,CME Group,"13,268",-0.91%,32.23%,"17,381",-2.22%,59.52%
DJIA Index (UDF),Future,Equity,Taiwan Futures Exchange,Taiwan,Asia,Taiwan Futures Exchange,"60,887",34.87%,,"1,632",-41.57%,
DJIA Margin,Future,Equity,Tokyo Financial Exchange,Japan,Asia,Tokyo Financial Exchange,"194,012",51.44%,259.24%,"45,635",21.65%,198.91%
Dollar/Rand,Future,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"1,468,083",-34.69%,-28.74%,"1,390,774",13.51%,76.98%
Dollar/Rand,Option,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"996,447",-12.49%,-14.35%,"2,334,041",6.04%,29.25%
MISO Indiana Hub (formerly Cinergy Hub) 5 Month Peak Calendar-Month Real-Time (H3),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"43,551",-4.25%,-6.54%
MISO Indiana Hub (formerly Cinergy Hub) Off-Peak LMP (EJ),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,120,0.00%,-71.43%
MISO Indiana Hub (formerly Cinergy Hub) Real-Time Peak Calendar-Month 2.5 MW (EM),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,288,0.00%,-19.55%
Dry Whey,Future,Agriculture,Chicago Mercantile Exchange,United States,North America,CME Group,"1,211",36.53%,-25.11%,"3,291",-24.14%,-27.38%
Dry Whey,Option,Agriculture,Chicago Mercantile Exchange,United States,North America,CME Group,71,-92.58%,-48.92%,"1,622",-23.78%,159.52%
Dubai Crude Oil (Platts),Future,Energy,Dubai Mercantile Exchange,United Arab Emirates,Asia,Dubai Mercantile Exchange,700,75.00%,,"15,500",-27.23%,
MISO Indiana Hub Day-Ahead Off-Peak Calendar-Day 5 MW (FAD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"33,280",28.20%,177.33%
Dubai Crude Oil (Platts) Financial (DC),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"6,025",10.35%,142.36%,"8,850",-30.53%,103.50%
Dubai India Crude Oil Quanto,Future,Energy,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"1,045",-30.24%,-49.25%,0,-100.00%,-100.00%
Dutch Power,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"12,172",12.77%,16.31%,"41,340",1.53%,-16.00%
Dutch TTF Gas,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"597,836",5.21%,14.76%,"579,519",1.25%,-6.38%
Dutch TTF Gas,Option,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"55,090",87.38%,6.89%,"216,690",0.77%,9.79%
Dutch TTF Natural Gas (USD per MMBTU) (ICIS Heren) Front Month (TTE),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,32,-65.22%,,0,-100.00%,
E-Micro AUD/USD,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"105,362",5.57%,-20.50%,"4,594",8.68%,76.49%
E-Micro EUR/USD,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"281,860",59.49%,52.85%,"8,491",2.97%,112.27%
E-Micro GBP/USD,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"36,635",15.28%,-64.46%,"3,564",27.19%,-1.52%
E-Micro Gold (MGC),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,"107,277",31.70%,90.00%,"7,478",66.10%,190.41%
E-Micro INR/USD,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"2,197",-22.45%,-23.32%,533,114.92%,732.81%
E-mini $5 DJIA,Future,Equity,Chicago Board of Trade,United States,North America,CME Group,"2,858,244",34.05%,8.20%,"152,531",10.72%,5.43%
E-mini Copper (QC),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,674,82.16%,61.63%,258,-13.71%,616.67%
E-mini Crude Oil (QM),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"304,306",19.70%,13.38%,"8,208",49.97%,74.38%
E-mini Euro FX,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"97,241",16.08%,100.20%,"15,335",4.99%,221.15%
E-mini FTSE 100 Index,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"2,974",17.60%,134.54%,639,-21.31%,182.74%
E-mini Japanese Yen,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"23,231",-26.24%,-14.54%,"1,106",3.17%,-44.11%
E-mini Nasdaq 100,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"7,491,487",35.50%,84.55%,"297,374",1.41%,-3.80%
E-mini Nasdaq 100,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"360,616",30.20%,66.59%,"84,789",17.79%,-6.74%
E-mini Natural Gas (QG),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"16,749",1.10%,-31.55%,"1,358",-14.05%,-46.81%
E-mini NY Harbor ULSD (QH),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,3,-25.00%,-72.73%,1,,
E-mini RBOB Gasoline (QU),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,4,33.33%,-42.86%,0,,
E-mini Russell 1000 Growth Index,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"10,307",532.72%,12946.84%,"2,045",131.07%,29114.29%
E-mini Russell 1000 Index,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"3,817",81.76%,5958.73%,855,83.48%,14150.00%
E-mini Russell 1000 Value Index,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"6,178",163.23%,2658.04%,"1,616",567.77%,77.19%
E-mini Russell 2000 Index,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"454,107",233.20%,,"21,362",273.27%,
E-mini Russell 2000 Index,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"6,724",207.31%,,"5,731",287.49%,
E-mini Russell 2000 Index (Weekly),Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"5,170",87.25%,,"2,626",41.95%,
E-mini S&P 500,Future,Equity,B3,Brazil,Latin America,B3,"15,197",58.34%,,"5,116",11.05%,
MISO Indiana Hub Day-Ahead Peak Calendar-Day 5 MW (PDD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"2,018",-23.99%,104.46%
E-mini S&P 500,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"32,605,352",46.78%,-2.46%,"3,373,769",11.33%,8.45%
E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"5,705,797",144.15%,95.83%,"2,175,469",45.83%,-14.85%
E-mini S&P Consumer Discretionary Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"3,583",-19.43%,0.65%,"2,399",-0.08%,-77.36%
E-mini S&P Consumer Staples Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"5,112",-0.85%,-74.40%,"14,083",7.93%,12.30%
E-mini S&P Energy Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"13,253",21.50%,3.22%,"9,746",17.58%,167.60%
E-mini S&P Financial Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"23,920",14.66%,401.89%,"29,807",16.66%,398.53%
E-mini S&P Health Care Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"12,852",109.90%,90.34%,"14,475",-7.03%,142.42%
E-mini S&P Industrial Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"15,559",225.64%,897.37%,"12,267",82.27%,9.43%
E-mini S&P Materials Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"4,060",-8.50%,-10.38%,"7,266",7.42%,115.16%
MISO Indiana Hub Day-Ahead Peak Financial (5 MW) (MCBQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"1,275",0.00%,
E-mini S&P Midcap 400,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"308,005",24.97%,-1.66%,"87,130",-5.58%,2.65%
E-mini S&P Real Estate Select Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"4,133",5.84%,137666.67%,"7,110",6.10%,710900.00%
E-mini S&P Technology Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"5,851",-33.85%,131.17%,"8,912",13.78%,86.29%
E-mini S&P Utilities Sector,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"11,822",24.82%,-60.22%,"22,753",1.32%,154.56%
Early Rice (RI),Future,Agriculture,Zhengzhou Commodity Exchange,China,Asia,Zhengzhou Commodity Exchange,97,-44.25%,-46.41%,15,-25.00%,-40.00%
MISO Indiana Hub Day-Ahead Peak Financial (50 MW) (MCCQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,769,0.00%,
East-West Gasoline Spread (Platts-Argus) (EWG),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"2,546",172.59%,14.02%,"3,804",14.37%,16.97%
East-West Naphtha: Japan C&F vs. Cargoes CIF NWE Spread (Platts) (EWN),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,693,14.74%,202.62%,949,-14.35%,70.68%
MISO Indiana Hub Real-Time Off-Peak Calendar-Day 5 MW (FTD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"4,704",0.00%,2.08%
Eastern Australia Wheat,Future,Agriculture,ASX 24,Australia,Asia,ASX,"5,007",-42.67%,151.61%,"15,559",17.85%,270.10%
MISO Indiana Hub Real-Time Off-Peak Financial (50 MWH) (CPOQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,-100.00%,,"15,788",0.00%,
eCFD,Future,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"674,315",43.60%,163.15%,"1,880,974",-9.91%,37.86%
Egg,Future,Agriculture,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"4,038,511",-23.43%,81.32%,"174,018",-2.90%,-4.57%
EIA Flat Tax On-Highway Diesel (A5),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,96,-85.76%,-91.55%,"3,480",-9.38%,-36.39%
MISO Indiana Hub Real-Time Peak Calendar-Day 5 MW (PTD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,588,32.43%,-47.17%
MISO Indiana Hub Real-Time Peak Financial (50 MW) (CINQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,-100.00%,,"1,491",0.00%,1112.20%
