Standardized_Contract,Contract_Type,Group_Name,Country,Region,Exchange_Name,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Volume_YTD,Volume_YTD_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change,Open_Interest_YTD,Open_Interest_YTD_Change
Corn Starch,Future,Agriculture,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"2,790,590",-12.8%,-51.6%,41779636,-7.6%,"147,642",-25.6%,-73.5%,3878598,28.7%
Hard Coking Coal,Future,Energy,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"5,907,342",1.6%,80.7%,25788740,-10.8%,"164,311",11.1%,-11.1%,1109160,7.7%
Polypropylene,Future,Other,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"4,717,638",-12.5%,33.5%,40844064,-62.8%,"192,916",-34.2%,-54.2%,2677181,-32.6%
Linear Low Density Polyethylene (LLDPE),Future,Other,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"4,698,772",-23.5%,-5.4%,48004500,-42.8%,"224,390",-26.8%,-23.0%,2137854,-35.5%
RBD Palm Olein,Future,Agriculture,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"6,237,967",-16.6%,-43.9%,57038306,-45.7%,"251,673",-30.3%,-35.4%,3374920,-2.5%
Soybean Oil,Future,Agriculture,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"4,669,583",-23.1%,-19.5%,46999118,-32.4%,"394,727",-8.7%,-10.6%,4496251,-2.4%
Corn,Future,Agriculture,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"6,528,986",-12.9%,-31.9%,112082338,33.6%,"586,322",-21.5%,-60.9%,11233152,11.5%
Iron Ore,Future,Metals,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"32,851,789",-13.6%,100.4%,232257056,-17.0%,"1,037,000",21.4%,15.6%,8777755,8.7%
Soybean Meal,Future,Agriculture,China,Asia,Dalian Commodity Exchange,Dalian Commodity Exchange,"13,277,344",-7.7%,-28.6%,133025622,-58.0%,"1,175,269",-7.3%,7.0%,13098674,-2.0%
Mini INR Euro,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,45,,,45,,0,,,0,
USD/RUB,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,48,-4.0%,166.7%,343,757.5%,0,-100.0%,,48,585.7%
Dubai India Crude Oil Quanto,Future,Energy,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,77,-92.6%,-94.6%,34882,555.6%,0,,-100.0%,767,-23.1%
Brent Crude Oil,Future,Energy,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,732,5128.6%,,1026,,33,1550.0%,,39,
WTI Mini,Future,Energy,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"1,808",-41.0%,-75.0%,36016,-31.4%,68,-40.9%,-42.4%,1386,-6.0%
USD/ZAR,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,558,60.8%,102.9%,4874,-35.1%,90,38.5%,1400.0%,426,313.6%
Shanghai Gold,Future,Metals,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"2,794",20.9%,,16116,,109,-31.9%,,949,
Copper,Future,Metals,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"1,679",5.3%,229.9%,15027,206.3%,162,22.7%,125.0%,1402,217.2%
Japanese yen,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"3,310",-16.7%,46.5%,41229,180.4%,176,-69.3%,51.7%,2741,149.0%
Canadian Dollar,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"2,184",50.1%,591.1%,14661,329.6%,188,-30.4%,469.7%,2106,848.6%
Silver,Future,Metals,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"1,409",-71.0%,-41.2%,17930,-44.6%,215,2.4%,-22.1%,1511,-49.4%
Swiss Franc,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"1,241",-40.0%,652.1%,6888,358.3%,219,-37.2%,852.2%,1993,886.6%
Australian Dollar,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"3,074",25.7%,410.6%,11966,78.9%,253,-15.1%,475.0%,1022,142.2%
WTI,Future,Energy,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"3,024",-35.3%,-62.1%,55940,-31.4%,286,4.4%,-22.5%,2373,17.2%
Gold Quanto,Future,Metals,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"18,473",46.0%,4.6%,123659,-45.0%,462,-80.8%,-30.4%,8094,-14.9%
S&P Sensex Index,Future,Equity,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"10,979",-0.6%,-24.5%,96798,-29.1%,556,-24.3%,-3.0%,7710,29.9%
Sterling Pound,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"14,122",19.4%,-3.2%,117097,16.8%,"1,284",1.9%,152.8%,7863,127.8%
Gold,Future,Metals,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"27,731",9.0%,-30.7%,250122,-28.3%,"1,397",-65.1%,-10.6%,20533,2.5%
Euro,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"53,499",66.8%,1229.8%,172791,65.2%,"1,777",13.8%,1076.8%,7583,221.3%
Indian Single Stock,Future,Equity,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"214,699",-1.2%,7180.4%,672964,860.1%,"2,100",160.2%,1593.5%,4337,238.3%
Indian Rupee,Option,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"26,930",-4.4%,-34.4%,269963,25.5%,"6,028",98.2%,-37.7%,63483,54.3%
Mini Indian Rupee,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"117,445",45.0%,108.9%,840154,-5.5%,"12,200",190.5%,283.4%,53461,127.9%
Rupee Quanto,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"346,887",140.1%,-32.8%,2090466,-44.8%,"22,887",14.5%,-89.0%,296437,-61.7%
Indian Rupee,Future,Currencies,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,"1,019,332",33.9%,-8.8%,7553937,-12.5%,"142,328",3.7%,-17.3%,1301009,66.7%
Brent vs. Dubai (Platts) Crude Oil,Future,Energy,United Arab Emirates,Asia,Dubai Mercantile Exchange,Dubai Mercantile Exchange,75,,,10789,,"3,635",-14.7%,,37211,
Dubai Crude Oil (Platts),Future,Energy,United Arab Emirates,Asia,Dubai Mercantile Exchange,Dubai Mercantile Exchange,300,-57.1%,,75857,,"11,750",-24.2%,,164275,
Oman Crude Oil,Future,Energy,United Arab Emirates,Asia,Dubai Mercantile Exchange,Dubai Mercantile Exchange,"110,730",-11.1%,-34.5%,1168911,-22.7%,"26,529",-17.2%,-3.8%,269855,21.1%
All Options on Exchange Traded Funds,Option,Equity,United States,North America,EDGX Options Exchange,BATS Exchange,"1,443,577",-25.2%,-28.4%,15747378,32.1%,,,,0,
All Options on Individual Equities,Option,Equity,United States,North America,EDGX Options Exchange,BATS Exchange,"2,279,201",-4.4%,47.2%,20170562,67.7%,,,,0,
4 Year Standards,Future,Interest Rates,United States,North America,Eris Exchange,Eris Exchange,"1,060",1414.3%,17.0%,4121,354.9%,667,65.1%,154.6%,2572,881.7%
30 Year Standards,Future,Interest Rates,United States,North America,Eris Exchange,Eris Exchange,299,-8.3%,5.3%,4129,67.0%,"1,121",0.2%,81.4%,8295,136.5%
3 Year Standards,Future,Interest Rates,United States,North America,Eris Exchange,Eris Exchange,"1,782",-15.1%,22.9%,23043,813.7%,"3,248",-0.9%,209.6%,21959,407.1%
7 Year Standards,Future,Interest Rates,United States,North America,Eris Exchange,Eris Exchange,"1,715",54.4%,432.6%,11900,100.4%,"8,862",6.2%,51.0%,73591,61.0%
2 Year Standards,Future,Interest Rates,United States,North America,Eris Exchange,Eris Exchange,"2,596",210.2%,18.1%,10274,-57.6%,"11,473",-7.2%,-29.4%,115473,-9.7%
Flexes,Future,Interest Rates,United States,North America,Eris Exchange,Eris Exchange,0,,,0,-100.0%,"27,453",0.0%,-37.0%,270977,-39.4%
5 Year Standards,Future,Interest Rates,United States,North America,Eris Exchange,Eris Exchange,"31,184",135.5%,18.0%,155970,-24.6%,"69,044",-2.4%,26.4%,588769,40.6%
10 Year Standards,Future,Interest Rates,United States,North America,Eris Exchange,Eris Exchange,"17,326",7.8%,104.2%,112874,22.5%,"75,883",5.9%,59.5%,554274,32.3%
MSCI North America GTR (USD) (FMGA),Future,Equity,Germany,Europe,Eurex,Eurex,5,,,16,,0,,,20,
Mid Term Euro-OAT,Future,Interest Rates,Germany,Europe,Eurex,Eurex,6,0.0%,-99.2%,458,-93.8%,0,-100.0%,-100.0%,116,-98.4%
Daily TAIEX (OTX2),Option,Equity,Germany,Europe,Eurex,Eurex,21,2000.0%,-99.5%,11299,-45.9%,0,,,0,
Daily TAIEX (OTX4),Option,Equity,Germany,Europe,Eurex,Eurex,30,-82.1%,-99.2%,9837,-61.3%,0,,,0,
Daily TAIEX (OTX1),Option,Equity,Germany,Europe,Eurex,Eurex,40,100.0%,-98.8%,4868,-77.2%,0,,,0,
Daily TAIEX (OTX),Option,Equity,Germany,Europe,Eurex,Eurex,118,-57.9%,-97.9%,25002,-61.8%,0,,,0,
Daily TAIEX,Future,Equity,Germany,Europe,Eurex,Eurex,299,-67.8%,-98.7%,82299,-57.6%,0,,,0,
MSCI Taiwan (FMTW),Future,Equity,Germany,Europe,Eurex,Eurex,331,8.5%,,3147,,0,-100.0%,,4040,
Swiss Market Index (SMI) - 5th Friday,Option,Equity,Germany,Europe,Eurex,Eurex,421,4110.0%,1403.6%,1145,3989.3%,0,-100.0%,,214,
Swiss Market Index (SMI) - 4th Friday,Option,Equity,Germany,Europe,Eurex,Eurex,743,412.4%,,6002,,0,,,0,
Euro Stoxx 50 Variance Index,Future,Equity,Germany,Europe,Eurex,Eurex,"4,389",,,4389,,0,,,0,
Euro Stoxx Banks 4th Friday,Option,Equity,Germany,Europe,Eurex,Eurex,"4,500",,66.4%,27054,-39.7%,0,,,0,-100.0%
Mini Kospi 200 Daily (FMK2),Future,Equity,Germany,Europe,Eurex,Eurex,"7,547",-50.8%,,54474,,0,,,0,
Bund Weekly - Week5 (OGB5),Option,Interest Rates,Germany,Europe,Eurex,Eurex,"14,711",113061.5%,207.4%,29156,-34.2%,0,-100.0%,,20,-89.5%
Dax 5th Friday Weekly,Option,Equity,Germany,Europe,Eurex,Eurex,"71,280",229835.5%,19.2%,197454,-18.5%,0,-100.0%,,55,-73.9%
VSTOXX,Option,Equity,Germany,Europe,Eurex,Eurex,"190,591",-49.1%,-51.2%,7977156,111.4%,0,-100.0%,-100.0%,6427741,141.8%
Euro Stoxx 50 Index - 5th Friday,Option,Equity,Germany,Europe,Eurex,Eurex,"609,357",5071.5%,63.8%,1922465,34.2%,0,-100.0%,,73290,1618.8%
Kospi 200,Option,Equity,Germany,Europe,Eurex,Eurex,"2,301,506",-36.6%,24.1%,20610964,23.5%,0,,,0,
Swiss Market Index (SMI) - 2nd Friday,Option,Equity,Germany,Europe,Eurex,Eurex,4,-98.6%,,3356,,3,-25.0%,,97,
Euro Stoxx 50 Corporate Bond (PI) (FCBI),Future,Equity,Germany,Europe,Eurex,Eurex,4,,,4,,4,,,4,
iShares Euro Stoxx Banks 30-15 UCITS ETF (DE) (EXX1),Option,Equity,Germany,Europe,Eurex,Eurex,4,,,4,,4,,,4,
Stoxx Europe 600 Financial Services,Option,Equity,Germany,Europe,Eurex,Eurex,5,,-88.1%,181,-83.4%,5,-54.5%,-95.9%,363,-80.0%
"MSCI USA (GTR, USD) (FMGS)",Future,Equity,Germany,Europe,Eurex,Eurex,15,,,15,,5,,,5,
Stoxx Europe 600 Media,Option,Equity,Germany,Europe,Eurex,Eurex,0,,,60,-94.9%,10,-75.0%,-63.0%,149,-94.4%
MSCI Kokusai (FMKN),Future,Equity,Germany,Europe,Eurex,Eurex,10,,,20,-92.6%,10,,,40,-89.0%
MSCI Canada NTR (USD) (FMCA),Future,Equity,Germany,Europe,Eurex,Eurex,16,,,22,,10,900.0%,,12,
MSCI Japan GTR (FMJG),Future,Equity,Germany,Europe,Eurex,Eurex,19,,,174,,10,,,210,
Bloomberg Commodity Index,Future,Other,Germany,Europe,Eurex,Eurex,12,1100.0%,-85.9%,63,-74.6%,13,-13.3%,-67.5%,204,-48.0%
Bund Weekly - Week3 (OGB3),Option,Interest Rates,Germany,Europe,Eurex,Eurex,"4,529",7.0%,-10.0%,29688,-55.1%,17,-71.2%,240.0%,5777,-50.1%
iShares Euro Stoxx 50 UCITS ETF (EUNF),Future,Equity,Germany,Europe,Eurex,Eurex,0,,,21,,21,0.0%,,84,
Euro Stoxx Financial Services,Future,Equity,Germany,Europe,Eurex,Eurex,41,192.9%,-99.3%,2224,-88.5%,21,-73.8%,-84.9%,1995,-71.5%
Bloomberg Agriculture Sub-index (FCAG),Future,Other,Germany,Europe,Eurex,Eurex,63,,,63,,21,,,21,
EUR/GBP (European Style),Option,Currencies,Germany,Europe,Eurex,Eurex,52,,,156,59.2%,26,0.0%,8.3%,274,67.1%
Swiss Market Index (SMI) - 1st Friday,Option,Equity,Germany,Europe,Eurex,Eurex,30,-88.4%,-76.4%,4347,3322.8%,27,-86.9%,-74.8%,2350,2096.3%
Tecdax,Option,Equity,Germany,Europe,Eurex,Eurex,93,60.3%,82.4%,389,-96.9%,30,-30.2%,-96.8%,651,-97.2%
MSCI UK,Future,Equity,Germany,Europe,Eurex,Eurex,1,-98.8%,-98.1%,342,-81.2%,42,-49.4%,61.5%,516,-80.3%
MSCI Hungary (FMHU),Future,Equity,Germany,Europe,Eurex,Eurex,94,,,203,,47,-56.9%,,374,
MSCI World GTR (EUR) (FMWE),Future,Equity,Germany,Europe,Eurex,Eurex,134,34.0%,,709,,50,-83.3%,,850,
Dax 4th Friday Weekly,Option,Equity,Germany,Europe,Eurex,Eurex,"48,226",-21.2%,-36.6%,475930,-25.0%,50,-82.7%,-76.9%,5619,-19.9%
Euro Stoxx Basic Resources,Option,Equity,Germany,Europe,Eurex,Eurex,0,-100.0%,,4012,305.3%,60,0.0%,-69.8%,4662,115.1%
db x-trackers MSCI Emerging Markets TRN,Option,Equity,Germany,Europe,Eurex,Eurex,77,2466.7%,16.7%,254,-34.7%,72,28.6%,9.1%,479,-43.4%
MSCI Egypt,Future,Equity,Germany,Europe,Eurex,Eurex,314,,414.8%,498,277.3%,109,131.9%,263.3%,453,210.3%
Euro Stoxx Personal & Household Goods,Future,Equity,Germany,Europe,Eurex,Eurex,542,131.6%,-93.2%,7381,-80.0%,179,-52.0%,-92.6%,4796,-67.6%
Stoxx Europe 600 Oil & Gas Index Dividend,Future,Equity,Germany,Europe,Eurex,Eurex,0,,,0,-100.0%,200,0.0%,-92.6%,1800,-92.5%
Euro Stoxx Food and Beverage,Option,Equity,Germany,Europe,Eurex,Eurex,200,,,334,234.0%,200,1438.5%,,504,-16.0%
Xetra-Gold,Option,Metals,Germany,Europe,Eurex,Eurex,35,,75.0%,77,-76.9%,218,2.3%,707.4%,1905,1474.4%
Euro Stoxx Retail,Future,Equity,Germany,Europe,Eurex,Eurex,998,673.6%,-80.0%,7985,-48.6%,253,-24.0%,-73.8%,4952,-20.6%
MSCI ACWI,Future,Equity,Germany,Europe,Eurex,Eurex,554,855.2%,-18.8%,1388,-83.2%,263,-9.9%,,1545,-82.6%
MSCI New Zealand (FMNZ),Future,Equity,Germany,Europe,Eurex,Eurex,280,-41.7%,105.9%,1271,532.3%,277,-61.8%,307.4%,1674,745.5%
ATX,Option,Equity,Germany,Europe,Eurex,Eurex,100,-63.0%,66.7%,809,-88.7%,295,-40.4%,-50.7%,2588,-81.2%
Euro Stoxx Mid,Option,Equity,Germany,Europe,Eurex,Eurex,0,,,300,,300,0.0%,,900,
3 Month Euribor,Option,Interest Rates,Germany,Europe,Eurex,Eurex,2,,,317,-93.8%,316,-24.4%,-99.7%,3350,-99.7%
MSCI Peru (FMPE),Future,Equity,Germany,Europe,Eurex,Eurex,702,1362.5%,,1899,,351,21.9%,,2179,
MSCI Czech Rep (FMCZ),Future,Equity,Germany,Europe,Eurex,Eurex,436,,,1090,,378,23.5%,,2297,
Euro Stoxx Industrial Goods & Services,Option,Equity,Germany,Europe,Eurex,Eurex,400,3900.0%,,578,-27.8%,420,2000.0%,,1001,150.3%
MSCI Pacific NTR (USD) (FMAP),Future,Equity,Germany,Europe,Eurex,Eurex,862,,,4043,,441,4.8%,,4104,
Euro Stoxx Industrial Goods & Services,Future,Equity,Germany,Europe,Eurex,Eurex,"1,750",623.1%,-60.1%,13852,-27.6%,442,-31.6%,-58.2%,7649,15.8%
Euro Stoxx Travel & Leisure,Future,Equity,Germany,Europe,Eurex,Eurex,782,72.6%,-90.5%,2961,-94.0%,455,137.0%,282.4%,1981,-94.5%
MDAX,Option,Equity,Germany,Europe,Eurex,Eurex,245,85.6%,-74.0%,1815,-81.0%,456,-19.7%,-70.1%,5522,-64.7%
Euro Stoxx Telecommunications,Option,Equity,Germany,Europe,Eurex,Eurex,356,,-7.5%,3651,28.2%,496,15.1%,16.7%,13210,212.1%
Euro Stoxx Oil Gas Index Dividend,Future,Equity,Germany,Europe,Eurex,Eurex,0,,,0,-100.0%,530,0.0%,-95.0%,4770,-94.9%
Euro Stoxx Construction & Materials,Future,Equity,Germany,Europe,Eurex,Eurex,"1,638",591.1%,-83.6%,8555,-72.2%,575,13.4%,-84.0%,4463,-71.7%
Euro Stoxx Personal & Household Goods,Option,Equity,Germany,Europe,Eurex,Eurex,200,42.9%,166.7%,1793,-4.4%,630,37.0%,32.6%,2715,-21.9%
Swiss Market Index Mid-Cap (SMIM),Option,Equity,Germany,Europe,Eurex,Eurex,520,2500.0%,-45.6%,2770,-67.1%,655,374.6%,-31.9%,5984,-53.7%
Euro Stoxx Technology,Option,Equity,Germany,Europe,Eurex,Eurex,250,11.1%,,785,-94.1%,725,46.5%,-31.0%,1690,-93.2%
Euro Stoxx Chemicals,Future,Equity,Germany,Europe,Eurex,Eurex,"3,270",1192.5%,166.9%,7741,-11.7%,772,18.6%,211.3%,5192,81.5%
All Options on Irish Equities,Option,Equity,Germany,Europe,Eurex,Eurex,722,-56.8%,-54.7%,6925,-8.5%,785,-51.0%,-56.9%,10499,-27.2%
MSCI USA Equal Weighted NTR (USD) (FMUE),Future,Equity,Germany,Europe,Eurex,Eurex,"1,300",,14344.4%,3425,9156.8%,793,56.4%,15760.0%,3949,8484.8%
Stoxx Global Select Dividend 100 Index,Future,Equity,Germany,Europe,Eurex,Eurex,"1,100",266.7%,-33.0%,4261,-58.0%,800,138.1%,-51.3%,5360,-32.5%
Euro Stoxx Automobiles & Parts,Option,Equity,Germany,Europe,Eurex,Eurex,311,-35.2%,90.8%,3172,-2.5%,819,-2.2%,54.8%,7210,26.3%
MSCI Europe Value (FMEV),Future,Equity,Germany,Europe,Eurex,Eurex,"1,690",3349.0%,,8755,,845,0.0%,,12899,
Euro Stoxx Healthcare,Future,Equity,Germany,Europe,Eurex,Eurex,"3,544",677.2%,97.0%,14601,-38.3%,850,21.1%,220.8%,7062,-31.0%
Bloomberg Industrial Metals Sub-index,Future,Other,Germany,Europe,Eurex,Eurex,"2,322",782.9%,31.6%,6609,1.7%,855,-19.3%,-7.3%,7513,5.0%
Swiss Leader Index (SLI),Option,Equity,Germany,Europe,Eurex,Eurex,0,,-100.0%,2919,-71.1%,862,0.0%,-51.1%,10247,-61.9%
Bloomberg Precious Metals Sub-index,Future,Other,Germany,Europe,Eurex,Eurex,"2,052",858.9%,30.2%,6160,6.8%,891,-9.2%,13.5%,8013,1.0%
MSCI Colombia,Future,Equity,Germany,Europe,Eurex,Eurex,"1,972",4381.8%,267.2%,6832,327.8%,938,-26.7%,248.7%,7297,218.8%
Euro Stoxx Basic Resources,Future,Equity,Germany,Europe,Eurex,Eurex,"5,162",322.8%,-42.6%,33416,-17.0%,988,-65.6%,-61.3%,18641,-6.7%
iStoxx Europe Low Risk Factor Index (FXFR),Future,Equity,Germany,Europe,Eurex,Eurex,"4,469",286.3%,,6368,,992,74.0%,,2872,
Euro Stoxx Media,Future,Equity,Germany,Europe,Eurex,Eurex,"1,370",-9.9%,-92.0%,7509,-82.9%,"1,013",74.7%,-82.6%,6225,-83.3%
ATX five,Future,Equity,Germany,Europe,Eurex,Eurex,"2,064",103100.0%,44.7%,7150,-21.7%,"1,022",-1.5%,-49.7%,10281,-47.5%
Euro Stoxx Technology,Future,Equity,Germany,Europe,Eurex,Eurex,"4,847",929.1%,-62.1%,16315,-61.5%,"1,105",-25.3%,-70.7%,10391,-45.7%
iStoxx Europe Carry Factor Index (FXFC),Future,Equity,Germany,Europe,Eurex,Eurex,"1,825",9025.0%,,4802,,"1,190",86.8%,,3098,
Swiss Leader Index (SLI),Future,Equity,Germany,Europe,Eurex,Eurex,"2,901",1713.1%,-22.7%,15082,-48.5%,"1,265",10.0%,-14.9%,11899,-61.1%
IPD UK Quarterly All Property Index - Calendar Year Returns,Future,Other,Germany,Europe,Eurex,Eurex,0,,,1286,,"1,266",0.0%,-68.4%,12746,-64.6%
MSCI UAE,Future,Equity,Germany,Europe,Eurex,Eurex,"1,779",283.4%,386.1%,3730,262.1%,"1,278",90.2%,598.4%,5409,293.4%
MSCI USA Quality NTR (USD) (FMUQ),Future,Equity,Germany,Europe,Eurex,Eurex,"2,702",,3.0%,6780,13.8%,"1,351",0.0%,102.9%,8183,98.9%
MSCI Singapore (FMSI),Future,Equity,Germany,Europe,Eurex,Eurex,"3,064",156.6%,,7842,,"1,373",-9.0%,,5524,
Euro Stoxx Food and Beverage,Future,Equity,Germany,Europe,Eurex,Eurex,"2,171",329.1%,-75.8%,13008,-62.5%,"1,405",272.7%,5.1%,8630,-45.6%
MSCI USA Momentum NTR (USD) (FMUM),Future,Equity,Germany,Europe,Eurex,Eurex,"2,870",,20400.0%,11877,21494.5%,"1,435",-5.9%,20400.0%,15790,23120.6%
All Options on Swedish Equities,Option,Equity,Germany,Europe,Eurex,Eurex,228,54.1%,-91.1%,8045,-11.0%,"1,454",-32.8%,-48.9%,20224,37.0%
Bund Weekly - Week2 (OGB2),Option,Interest Rates,Germany,Europe,Eurex,Eurex,"5,119",11.2%,-62.9%,45366,-34.1%,"1,526",-35.9%,3448.8%,8024,-33.7%
SMI Index Dividend,Future,Equity,Germany,Europe,Eurex,Eurex,0,,-100.0%,1095,24.4%,"1,532",0.0%,4.6%,12538,14.0%
MSCI EAFE NTR (USD) (FMFA),Future,Equity,Germany,Europe,Eurex,Eurex,760,37900.0%,,1555,,"1,553",95.8%,,3139,
iStoxx Europe Quality Factor Index (FXFQ),Future,Equity,Germany,Europe,Eurex,Eurex,"3,876",21.1%,,7845,,"1,603",-29.4%,,5268,
MSCI Russia Index,Future,Equity,Germany,Europe,Eurex,Eurex,483,222.0%,2315.0%,6323,-21.4%,"1,666",4.1%,16560.0%,9404,-19.1%
MSCI Pacific Ex-Japan (FMPX),Future,Equity,Germany,Europe,Eurex,Eurex,17,-99.6%,-80.5%,29944,4865.8%,"1,704",-77.1%,3377.6%,44795,10245.3%
CECE EUR,Future,Equity,Germany,Europe,Eurex,Eurex,"2,068",733.9%,-32.3%,14386,-9.3%,"1,810",1.3%,1.3%,24863,-16.6%
CECE EUR,Option,Equity,Germany,Europe,Eurex,Eurex,0,,,5800,197.4%,"2,000",-33.3%,66.7%,42250,190.4%
iStoxx Europe Momentum Factor Index (FXFM),Future,Equity,Germany,Europe,Eurex,Eurex,"9,165",56.8%,,27661,,"2,029",-68.5%,,22774,
Dax 2nd Friday Weekly,Option,Equity,Germany,Europe,Eurex,Eurex,"55,638",-12.4%,69.9%,435090,-10.0%,"2,103",-74.0%,93.6%,37125,5.6%
MSCI World Midcap (FMWM),Future,Equity,Germany,Europe,Eurex,Eurex,"4,242",2825.5%,47.7%,12966,59.2%,"2,121",-5.6%,47.7%,19279,63.0%
MSCI Europe Growth (FMEG),Future,Equity,Germany,Europe,Eurex,Eurex,"3,953",,,13226,,"2,176",22.5%,,17669,
Euro Stoxx Large,Future,Equity,Germany,Europe,Eurex,Eurex,"3,968",1904.0%,625.4%,5123,-38.4%,"2,228",813.1%,637.7%,3541,-41.7%
MSCI Qatar,Future,Equity,Germany,Europe,Eurex,Eurex,"4,660",1671.9%,404.3%,11042,291.1%,"2,394",142.3%,137.7%,11061,160.9%
DivDAX,Future,Equity,Germany,Europe,Eurex,Eurex,"6,222",311000.0%,150.5%,14821,80.8%,"2,404",4.6%,105.5%,16275,41.5%
iStoxx Europe Size Factor Index (FXFS),Future,Equity,Germany,Europe,Eurex,Eurex,"4,631",15869.0%,,10064,,"2,502",16.0%,,9401,
Euro Stoxx Real Estate (OESL),Option,Equity,Germany,Europe,Eurex,Eurex,0,,,2632,,"2,632",0.0%,,7896,
Stoxx Europe 600 Healthcare,Option,Equity,Germany,Europe,Eurex,Eurex,0,-100.0%,-100.0%,20032,6.1%,"2,662",-33.9%,-49.3%,60486,48.9%
Euro Stoxx Real Estate,Future,Equity,Germany,Europe,Eurex,Eurex,"8,559",990.3%,-57.9%,42513,-35.5%,"2,677",-36.5%,-59.4%,26098,-32.5%
MSCI AC Asia Pacific ex Japan,Future,Equity,Germany,Europe,Eurex,Eurex,"5,851",2141.8%,-42.4%,19606,-25.0%,"2,709",3.3%,-35.8%,22522,-17.3%
MSCI Poland,Future,Equity,Germany,Europe,Eurex,Eurex,"3,689",117.0%,319.2%,14394,1412.0%,"2,753",-19.6%,212.8%,25294,2370.1%
MSCI USA (FMUS),Future,Equity,Germany,Europe,Eurex,Eurex,"5,347",,712.6%,22892,879.5%,"2,767",-0.5%,1211.4%,31265,1309.6%
Euro Stoxx 50 Ex-Financials Index,Future,Equity,Germany,Europe,Eurex,Eurex,"11,457",30050.0%,120.5%,30070,19.7%,"3,250",-9.5%,24.4%,29564,33.2%
MSCI India (FMIN),Future,Equity,Germany,Europe,Eurex,Eurex,"7,527",1299.1%,55.0%,24072,292.8%,"3,292",-13.3%,35.3%,31636,740.7%
Bund Weekly - Week1 (OGB1),Option,Interest Rates,Germany,Europe,Eurex,Eurex,"5,661",14.3%,-10.3%,66774,12.8%,"3,341",20.4%,-30.6%,31901,6.7%
Bloomberg Ex-Agriculture & Livestock Index,Future,Other,Germany,Europe,Eurex,Eurex,"7,606",5706.1%,9175.6%,20843,2315.2%,"3,481",-8.0%,18221.1%,20824,3478.0%
Stoxx Europe Large 200,Future,Equity,Germany,Europe,Eurex,Eurex,"11,261",1076.7%,-5.4%,60176,-27.9%,"3,553",-16.2%,-0.1%,43207,-19.5%
